Tensao [V];Corrente [A]
-5;-1,095917E-09
-4,95;-1,076882E-09
-4,9;-1,065166E-09
-4,85;-1,056301E-09
-4,8;-1,056298E-09
-4,75;-1,055812E-09
-4,7;-1,04931E-09
-4,65;-1,041864E-09
-4,6;-1,041784E-09
-4,55;-1,041813E-09
-4,5;-1,035273E-09
-4,45;-1,030184E-09
-4,4;-1,030896E-09
-4,35;-1,028635E-09
-4,3;-1,021907E-09
-4,25;-1,016012E-09
-4,2;-1,016064E-09
-4,15;-1,013924E-09
-4,1;-1,007835E-09
-4,05;-1,002631E-09
-4;-1,002275E-09
-3,95;-1,002399E-09
-3,9;-9,946136E-10
-3,85;-9,88432E-10
-3,8;-9,91211E-10
-3,75;-9,890924E-10
-3,7;-9,794837E-10
-3,65;-9,743115E-10
-3,6;-9,745446E-10
-3,55;-9,739959E-10
-3,5;-9,65373E-10
-3,45;-9,588471E-10
-3,4;-9,587448E-10
-3,35;-9,5638E-10
-3,3;-9,474971E-10
-3,25;-9,398665E-10
-3,2;-9,384197E-10
-3,15;-9,390339E-10
-3,1;-9,295003E-10
-3,05;-9,212195E-10
-3;-9,192537E-10
-2,95;-9,160607E-10
-2,9;-9,070544E-10
-2,85;-8,991322E-10
-2,8;-8,972629E-10
-2,75;-8,947494E-10
-2,7;-8,833562E-10
-2,65;-8,741592E-10
-2,6;-8,704936E-10
-2,55;-8,665821E-10
-2,5;-8,554467E-10
-2,45;-8,443731E-10
-2,4;-8,374193E-10
-2,35;-8,298502E-10
-2,3;-8,11592E-10
-2,25;-7,919622E-10
-2,2;-7,760042E-10
-2,15;-7,536461E-10
-2,1;-7,187608E-10
-2,05;-6,755831E-10
-2;-6,306224E-10
-1,95;-5,756668E-10
-1,9;-4,998646E-10
-1,85;-4,126805E-10
-1,8;-3,102476E-10
-1,75;-1,938265E-10
-1,7;-5,004398E-11
-1,65;1,15109E-10
-1,6;3,044377E-10
-1,55;5,273518E-10
-1,5;8,001381E-10
-1,45;1,137681E-09
-1,4;1,560982E-09
-1,35;2,406189E-09
-1,3;2,886313E-09
-1,25;3,855641E-09
-1,2;5,187666E-09
-1,15;6,947689E-09
-1,1;9,246235E-09
-1,05;1,219825E-08
-1;1,591571E-08
-0,95;2,283126E-08
-0,9;2,897199E-08
-0,85;3,611804E-08
-0,8;4,448219E-08
-0,75;5,423907E-08
-0,7;6,551257E-08
-0,65;7,86205E-08
-0,6;9,401859E-08
-0,55;1,125166E-07
-0,5;1,346925E-07
-0,45;1,607534E-07
-0,4;1,905619E-07
-0,35;2,232261E-07
-0,3;2,578636E-07
-0,25;2,937796E-07
-0,2;3,308972E-07
-0,15;3,689914E-07
-0,1;4,078673E-07
-0,05;4,475991E-07
0;4,885012E-07
0,05;5,297302E-07
0,1;5,715676E-07
0,15;6,138807E-07
0,2;6,568465E-07
0,25;7,001969E-07
0,3;7,44016E-07
0,35;7,882426E-07
0,4;8,325655E-07
0,45;8,770969E-07
0,5;9,218222E-07
0,55;9,665683E-07
0,6;1,011391E-06
0,65;1,056184E-06
0,7;1,101013E-06
0,75;1,145363E-06
0,8;1,189255E-06
0,85;1,23282E-06
0,9;1,275783E-06
0,95;1,31772E-06
1;1,359052E-06
1,05;1,399873E-06
1,1;1,439611E-06
1,15;1,478358E-06
1,2;1,516205E-06
1,25;1,553269E-06
1,3;1,589538E-06
1,35;1,62522E-06
1,4;1,66024E-06
1,45;1,694081E-06
1,5;1,727138E-06
1,55;1,759685E-06
1,6;1,791637E-06
1,65;1,822938E-06
1,7;1,853751E-06
1,75;1,883609E-06
1,8;1,91296E-06
1,85;1,941968E-06
1,9;1,970413E-06
1,95;1,998418E-06
2;2,025673E-06
2,05;2,052452E-06
2,1;2,07902E-06
2,15;2,103719E-06
2,2;2,1292E-06
2,25;2,153941E-06
2,3;2,178469E-06
2,35;2,202645E-06
2,4;2,226223E-06
2,45;2,249403E-06
2,5;2,271644E-06
2,55;2,293421E-06
2,6;2,314511E-06
2,65;2,335513E-06
2,7;2,356654E-06
2,75;2,377043E-06
2,8;2,396834E-06
2,85;2,416112E-06
2,9;2,43519E-06
2,95;2,45403E-06
3;2,471881E-06
3,05;2,490573E-06
3,1;2,50825E-06
3,15;2,52479E-06
3,2;2,540366E-06
3,25;2,556193E-06
3,3;2,572621E-06
3,35;2,588734E-06
3,4;2,604187E-06
3,45;2,618751E-06
3,5;2,633165E-06
3,55;2,647817E-06
3,6;2,662907E-06
3,65;2,677784E-06
3,7;2,691797E-06
3,75;2,705412E-06
3,8;2,718565E-06
3,85;2,731991E-06
3,9;2,745617E-06
3,95;2,758644E-06
4;2,771259E-06
4,05;2,783561E-06
4,1;2,796588E-06
4,15;2,808578E-06
4,2;2,820566E-06
4,25;2,832304E-06
4,3;2,84437E-06
4,35;2,855971E-06
4,4;2,867384E-06
4,45;2,87841E-06
4,5;2,889375E-06
4,55;2,900375E-06
4,6;2,910816E-06
4,65;2,921166E-06
4,7;2,931593E-06
4,75;2,942305E-06
4,8;2,952209E-06
4,85;2,960847E-06
4,9;2,96951E-06
4,95;2,979423E-06
5;2,989726E-06
