,Método,V_0,sV_0
0,1,-1.0291968280255415,0.04922476056627769
1,2,-0.3300680688974297,0.007815427247698313
2,3,-0.8352017398808383,0.14016614531928753
3,4,-0.9353044400774665,0.16422322428828992
