,Método,V_0,sV_0
0,1,-1.7032747911421087,0.003813583081580385
1,2,-0.927155362722409,0.039199990790133296
2,3,-1.6871054381242871,0.022110721075727872
3,4,-2.0877617481203012,0.10879390389197656
