,Método,V_0,sV_0
0,1,-1.182191404657273,0.0006413453344171863
1,2,-0.6454626917121747,0.023144886055788197
2,3,-1.184418994382784,0.020107277574801515
3,4,-1.7135544827979037,0.08545173206353447
