,Método,V_0,sV_0
0,1,-1.2560691446362946,0.005538263498871364
1,2,-0.5288837355154794,0.01678013231137817
2,3,-1.2681734600510794,0.03600287316499048
3,4,-1.440598071884256,0.06333835113068347
