Tensao [V];Corrente [A]
-5;-1,549793E-10
-4,95;-1,408799E-10
-4,9;-1,339999E-10
-4,85;-1,300866E-10
-4,8;-1,273976E-10
-4,75;-1,25144E-10
-4,7;-1,243864E-10
-4,65;-1,226105E-10
-4,6;-1,216356E-10
-4,55;-1,207914E-10
-4,5;-1,178938E-10
-4,45;-1,161439E-10
-4,4;-1,149875E-10
-4,35;-1,134449E-10
-4,3;-1,118937E-10
-4,25;-1,100376E-10
-4,2;-1,084506E-10
-4,15;-1,077644E-10
-4,1;-1,050704E-10
-4,05;-1,029391E-10
-4;-9,914549E-11
-3,95;-9,737468E-11
-3,9;-9,789908E-11
-3,85;-9,689082E-11
-3,8;-9,602944E-11
-3,75;-9,499775E-11
-3,7;-9,641452E-11
-3,65;-8,948753E-11
-3,6;-8,912966E-11
-3,55;-8,747102E-11
-3,5;-8,657884E-11
-3,45;-8,477948E-11
-3,4;-8,679845E-11
-3,35;-8,483873E-11
-3,3;-8,025038E-11
-3,25;-7,808827E-11
-3,2;-7,609772E-11
-3,15;-7,391084E-11
-3,1;-7,358751E-11
-3,05;-7,048133E-11
-3;-6,786879E-11
-2,95;-6,552525E-11
-2,9;-6,356792E-11
-2,85;-6,078509E-11
-2,8;-6,117752E-11
-2,75;-5,792078E-11
-2,7;-5,583512E-11
-2,65;-5,236367E-11
-2,6;-4,964868E-11
-2,55;-4,858857E-11
-2,5;-4,721133E-11
-2,45;-4,294385E-11
-2,4;-4,063607E-11
-2,35;-3,849742E-11
-2,3;-3,504076E-11
-2,25;-3,077326E-11
-2,2;-2,907761E-11
-2,15;-2,622564E-11
-2,1;-2,287508E-11
-2,05;-2,025881E-11
-2;-1,520398E-11
-1,95;-1,03787E-11
-1,9;-5,465782E-12
-1,85;-1,740068E-12
-1,8;-6,791197E-12
-1,75;-1,398225E-12
-1,7;2,852063E-12
-1,65;8,361197E-12
-1,6;1,347665E-11
-1,55;1,678903E-11
-1,5;2,142811E-11
-1,45;2,990162E-11
-1,4;3,125669E-11
-1,35;3,53873E-11
-1,3;4,196639E-11
-1,25;4,364484E-11
-1,2;5,40596E-11
-1,15;5,968478E-11
-1,1;6,503098E-11
-1,05;7,386853E-11
-1;8,208907E-11
-0,95;8,525335E-11
-0,9;9,496717E-11
-0,85;1,052782E-10
-0,8;1,20089E-10
-0,75;1,288131E-10
-0,7;1,418478E-10
-0,65;1,593861E-10
-0,6;1,863973E-10
-0,55;2,312072E-10
-0,5;3,306615E-10
-0,45;5,457288E-10
-0,4;9,57122E-10
-0,35;1,710026E-09
-0,3;3,425897E-09
-0,25;4,508155E-09
-0,2;6,502863E-09
-0,15;8,792767E-09
-0,1;1,146594E-08
-0,05;1,460429E-08
0;1,874918E-08
0,05;2,315309E-08
0,1;2,682037E-08
0,15;3,040363E-08
0,2;3,393265E-08
0,25;3,743922E-08
0,3;4,090515E-08
0,35;4,42796E-08
0,4;4,756282E-08
0,45;5,082919E-08
0,5;5,409269E-08
0,55;5,725243E-08
0,6;6,034399E-08
0,65;6,343978E-08
0,7;6,652224E-08
0,75;6,957339E-08
0,8;7,259487E-08
0,85;7,556958E-08
0,9;7,851997E-08
0,95;8,13816E-08
1;8,422064E-08
1,05;8,692326E-08
1,1;8,962074E-08
1,15;9,21425E-08
1,2;9,462808E-08
1,25;9,706525E-08
1,3;9,946516E-08
1,35;1,017777E-07
1,4;1,039653E-07
1,45;1,061722E-07
1,5;1,083562E-07
1,55;1,10455E-07
1,6;1,12446E-07
1,65;1,144913E-07
1,7;1,164718E-07
1,75;1,18413E-07
1,8;1,202339E-07
1,85;1,220855E-07
1,9;1,239447E-07
1,95;1,256743E-07
2;1,274022E-07
2,05;1,291098E-07
2,1;1,308528E-07
2,15;1,32503E-07
2,2;1,340938E-07
2,25;1,357096E-07
2,3;1,373407E-07
2,35;1,38944E-07
2,4;1,404503E-07
2,45;1,419487E-07
2,5;1,434682E-07
2,55;1,449544E-07
2,6;1,463579E-07
2,65;1,47805E-07
2,7;1,492224E-07
2,75;1,506339E-07
2,8;1,520151E-07
2,85;1,533372E-07
2,9;1,546426E-07
2,95;1,559859E-07
3;1,572454E-07
3,05;1,584759E-07
3,1;1,596844E-07
3,15;1,60904E-07
3,2;1,620732E-07
3,25;1,631971E-07
3,3;1,643294E-07
3,35;1,654925E-07
3,4;1,665489E-07
3,45;1,676212E-07
3,5;1,687393E-07
3,55;1,698484E-07
3,6;1,708432E-07
3,65;1,71875E-07
3,7;1,728781E-07
3,75;1,739535E-07
3,8;1,749495E-07
3,85;1,75933E-07
3,9;1,76915E-07
3,95;1,778744E-07
4;1,789048E-07
4,05;1,798277E-07
4,1;1,807767E-07
4,15;1,817065E-07
4,2;1,82686E-07
4,25;1,835786E-07
4,3;1,844795E-07
4,35;1,853726E-07
4,4;1,862662E-07
4,45;1,871729E-07
4,5;1,879891E-07
4,55;1,888251E-07
4,6;1,897069E-07
4,65;1,905444E-07
4,7;1,912826E-07
4,75;1,920831E-07
4,8;1,929209E-07
4,85;1,936957E-07
4,9;1,943985E-07
4,95;1,951588E-07
5;1,95926E-07
