Tensao [V];Corrente [A]
-5;-1,07823E-09
-4,95;-1,057087E-09
-4,9;-1,04987E-09
-4,85;-1,04804E-09
-4,8;-1,044658E-09
-4,75;-1,040585E-09
-4,7;-1,036179E-09
-4,65;-1,036121E-09
-4,6;-1,035171E-09
-4,55;-1,030206E-09
-4,5;-1,026033E-09
-4,45;-1,025698E-09
-4,4;-1,024807E-09
-4,35;-1,019107E-09
-4,3;-1,015946E-09
-4,25;-1,016655E-09
-4,2;-1,014762E-09
-4,15;-1,010504E-09
-4,1;-1,00517E-09
-4,05;-1,00418E-09
-4;-1,003834E-09
-3,95;-9,99181E-10
-3,9;-9,936348E-10
-3,85;-9,933658E-10
-3,8;-9,933664E-10
-3,75;-9,891783E-10
-3,7;-9,849409E-10
-3,65;-9,833064E-10
-3,6;-9,828451E-10
-3,55;-9,79455E-10
-3,5;-9,750141E-10
-3,45;-9,710973E-10
-3,4;-9,701469E-10
-3,35;-9,668604E-10
-3,3;-9,596461E-10
-3,25;-9,58487E-10
-3,2;-9,583536E-10
-3,15;-9,532866E-10
-3,1;-9,470853E-10
-3,05;-9,437523E-10
-3;-9,422341E-10
-2,95;-9,386338E-10
-2,9;-9,318807E-10
-2,85;-9,275725E-10
-2,8;-9,269073E-10
-2,75;-9,239401E-10
-2,7;-9,172705E-10
-2,65;-9,127299E-10
-2,6;-9,096249E-10
-2,55;-9,047909E-10
-2,5;-8,975701E-10
-2,45;-8,925397E-10
-2,4;-8,915176E-10
-2,35;-8,891519E-10
-2,3;-8,806377E-10
-2,25;-8,73756E-10
-2,2;-8,695112E-10
-2,15;-8,651166E-10
-2,1;-8,574595E-10
-2,05;-8,509732E-10
-2;-8,456462E-10
-1,95;-8,416867E-10
-1,9;-8,334378E-10
-1,85;-8,242125E-10
-1,8;-8,174693E-10
-1,75;-8,093601E-10
-1,7;-7,952305E-10
-1,65;-7,7665E-10
-1,6;-7,57873E-10
-1,55;-7,356253E-10
-1,5;-6,991906E-10
-1,45;-6,494179E-10
-1,4;-5,915757E-10
-1,35;-5,130446E-10
-1,3;-4,065251E-10
-1,25;-2,692975E-10
-1,2;-9,51367E-11
-1,15;1,229227E-10
-1,1;4,141799E-10
-1,05;8,018429E-10
-1;1,320671E-09
-0,95;2,029102E-09
-0,9;3,355588E-09
-0,85;4,443967E-09
-0,8;6,363005E-09
-0,75;9,051782E-09
-0,7;1,271461E-08
-0,65;1,765601E-08
-0,6;2,743791E-08
-0,55;3,743548E-08
-0,5;5,070693E-08
-0,45;6,740126E-08
-0,4;8,772892E-08
-0,35;1,116046E-07
-0,3;1,38836E-07
-0,25;1,676025E-07
-0,2;1,96978E-07
-0,15;2,268435E-07
-0,1;2,571769E-07
-0,05;2,879048E-07
0;3,195349E-07
0,05;3,513334E-07
0,1;3,837077E-07
0,15;4,164574E-07
0,2;4,494412E-07
0,25;4,826974E-07
0,3;5,163308E-07
0,35;5,503316E-07
0,4;5,841936E-07
0,45;6,182062E-07
0,5;6,521721E-07
0,55;6,861874E-07
0,6;7,200579E-07
0,65;7,538704E-07
0,7;7,877472E-07
0,75;8,214088E-07
0,8;8,547248E-07
0,85;8,876487E-07
0,9;9,202801E-07
0,95;9,522788E-07
1;9,835065E-07
1,05;1,014223E-06
1,1;1,044157E-06
1,15;1,073421E-06
1,2;1,101918E-06
1,25;1,129439E-06
1,3;1,156056E-06
1,35;1,181941E-06
1,4;1,207168E-06
1,45;1,231367E-06
1,5;1,254693E-06
1,55;1,277431E-06
1,6;1,29945E-06
1,65;1,320708E-06
1,7;1,341253E-06
1,75;1,361436E-06
1,8;1,381045E-06
1,85;1,399907E-06
1,9;1,418266E-06
1,95;1,436306E-06
2;1,453945E-06
2,05;1,471031E-06
2,1;1,487873E-06
2,15;1,504268E-06
2,2;1,520508E-06
2,25;1,536338E-06
2,3;1,551693E-06
2,35;1,567006E-06
2,4;1,582059E-06
2,45;1,596835E-06
2,5;1,611092E-06
2,55;1,624856E-06
2,6;1,638562E-06
2,65;1,652099E-06
2,7;1,665346E-06
2,75;1,677757E-06
2,8;1,689989E-06
2,85;1,702364E-06
2,9;1,714339E-06
2,95;1,725776E-06
3;1,736936E-06
3,05;1,747985E-06
3,1;1,7586E-06
3,15;1,768916E-06
3,2;1,779075E-06
3,25;1,78902E-06
3,3;1,798708E-06
3,35;1,808185E-06
3,4;1,817648E-06
3,45;1,826915E-06
3,5;1,836058E-06
3,55;1,844796E-06
3,6;1,853565E-06
3,65;1,862172E-06
3,7;1,870652E-06
3,75;1,878895E-06
3,8;1,88704E-06
3,85;1,895169E-06
3,9;1,903104E-06
3,95;1,91087E-06
4;1,918449E-06
4,05;1,9261E-06
4,1;1,933596E-06
4,15;1,940861E-06
4,2;1,947986E-06
4,25;1,955064E-06
4,3;1,962161E-06
4,35;1,96903E-06
4,4;1,975742E-06
4,45;1,982441E-06
4,5;1,989165E-06
4,55;1,995606E-06
4,6;2,001928E-06
4,65;2,008154E-06
4,7;2,014287E-06
4,75;2,020336E-06
4,8;2,026221E-06
4,85;2,032078E-06
4,9;2,037844E-06
4,95;2,043477E-06
5;2,048975E-06
