Tensao [V];Corrente [A]
-5;-9,601949E-11
-4,95;-8,06921E-11
-4,9;-7,563487E-11
-4,85;-7,230403E-11
-4,8;-6,332113E-11
-4,75;-6,924471E-11
-4,7;-6,701224E-11
-4,65;-6,264479E-11
-4,6;-5,930909E-11
-4,55;-5,795655E-11
-4,5;-5,548713E-11
-4,45;-5,410368E-11
-4,4;-5,322874E-11
-4,35;-5,194281E-11
-4,3;-5,282148E-11
-4,25;-4,819732E-11
-4,2;-4,821711E-11
-4,15;-4,547743E-11
-4,1;-4,374724E-11
-4,05;-4,120995E-11
-4;-3,989439E-11
-3,95;-3,823455E-11
-3,9;-3,717691E-11
-3,85;-3,454707E-11
-3,8;-3,235286E-11
-3,75;-2,963173E-11
-3,7;-2,794223E-11
-3,65;-2,64354E-11
-3,6;-2,463858E-11
-3,55;-2,273439E-11
-3,5;-2,128928E-11
-3,45;-1,8304E-11
-3,4;-1,56717E-11
-3,35;-1,015779E-11
-3,3;1,217216E-11
-3,25;-8,358487E-12
-3,2;-1,62221E-11
-3,15;-1,227425E-11
-3,1;-8,627512E-12
-3,05;-5,534889E-12
-3;-2,151018E-12
-2,95;1,774668E-12
-2,9;4,83406E-12
-2,85;1,192041E-11
-2,8;4,347327E-11
-2,75;7,651547E-13
-2,7;8,487066E-12
-2,65;9,895202E-12
-2,6;1,369877E-11
-2,55;1,723948E-11
-2,5;1,880927E-11
-2,45;2,162803E-11
-2,4;2,360879E-11
-2,35;2,532423E-11
-2,3;3,101109E-11
-2,25;3,156889E-11
-2,2;4,41076E-11
-2,15;4,265751E-11
-2,1;4,212806E-11
-2,05;4,460373E-11
-2;4,626852E-11
-1,95;4,870099E-11
-1,9;5,018441E-11
-1,85;5,258849E-11
-1,8;5,822103E-11
-1,75;5,850737E-11
-1,7;6,28737E-11
-1,65;6,635884E-11
-1,6;7,002913E-11
-1,55;7,303053E-11
-1,5;7,509646E-11
-1,45;8,002801E-11
-1,4;8,455723E-11
-1,35;8,780304E-11
-1,3;8,984052E-11
-1,25;9,304556E-11
-1,2;9,778341E-11
-1,15;1,014203E-10
-1,1;1,09642E-10
-1,05;1,280429E-10
-1;1,286081E-10
-0,95;1,31275E-10
-0,9;1,346984E-10
-0,85;1,357685E-10
-0,8;1,4109E-10
-0,75;1,48359E-10
-0,7;1,857369E-10
-0,65;1,688911E-10
-0,6;1,718037E-10
-0,55;1,821419E-10
-0,5;1,942562E-10
-0,45;2,14666E-10
-0,4;2,449737E-10
-0,35;3,01177E-10
-0,3;4,117643E-10
-0,25;6,279595E-10
-0,2;9,848593E-10
-0,15;1,529098E-09
-0,1;2,673962E-09
-0,05;3,200279E-09
0;4,332618E-09
0,05;5,069437E-09
0,1;5,983721E-09
0,15;6,818704E-09
0,2;7,630586E-09
0,25;8,487115E-09
0,3;9,311469E-09
0,35;1,007391E-08
0,4;1,081123E-08
0,45;1,156838E-08
0,5;1,234467E-08
0,55;1,30785E-08
0,6;1,377733E-08
0,65;1,45051E-08
0,7;1,523357E-08
0,75;1,593009E-08
0,8;1,65989E-08
0,85;1,731913E-08
0,9;1,80109E-08
0,95;1,869086E-08
1;1,933005E-08
1,05;2,028016E-08
1,1;2,090767E-08
1,15;2,154006E-08
1,2;2,216832E-08
1,25;2,275634E-08
1,3;2,33658E-08
1,35;2,393641E-08
1,4;2,453721E-08
1,45;2,509313E-08
1,5;2,564053E-08
1,55;2,616575E-08
1,6;2,674201E-08
1,65;2,727711E-08
1,7;2,779182E-08
1,75;2,829272E-08
1,8;2,879311E-08
1,85;2,9286E-08
1,9;2,975994E-08
1,95;3,023441E-08
2;3,068315E-08
2,05;3,113806E-08
2,1;3,158342E-08
2,15;3,19957E-08
2,2;3,248519E-08
2,25;3,291015E-08
2,3;3,333909E-08
2,35;3,373569E-08
2,4;3,420664E-08
2,45;3,462632E-08
2,5;3,501064E-08
2,55;3,53986E-08
2,6;3,577429E-08
2,65;3,615911E-08
2,7;3,654004E-08
2,75;3,690107E-08
2,8;3,728323E-08
2,85;3,766448E-08
2,9;3,802796E-08
2,95;3,838823E-08
3;3,875137E-08
3,05;3,911489E-08
3,1;3,945995E-08
3,15;3,980682E-08
3,2;4,014188E-08
3,25;4,046065E-08
3,3;4,078905E-08
3,35;4,108351E-08
3,4;4,140477E-08
3,45;4,173207E-08
3,5;4,204331E-08
3,55;4,235806E-08
3,6;4,264146E-08
3,65;4,296675E-08
3,7;4,328293E-08
3,75;4,355579E-08
3,8;4,385352E-08
3,85;4,413615E-08
3,9;4,441458E-08
3,95;4,470077E-08
4;4,497326E-08
4,05;4,528038E-08
4,1;4,555141E-08
4,15;4,58363E-08
4,2;4,608951E-08
4,25;4,631853E-08
4,3;4,664296E-08
4,35;4,687773E-08
4,4;4,714735E-08
4,45;4,736611E-08
4,5;4,763824E-08
4,55;4,790712E-08
4,6;4,813398E-08
4,65;4,83708E-08
4,7;4,862886E-08
4,75;4,887583E-08
4,8;4,908776E-08
4,85;4,932458E-08
4,9;4,955735E-08
4,95;4,979238E-08
5;5,000497E-08
