Ângulo	R
2,5	1
2,6	3
2,7	1
2,8	2,3
2,9	3
3	3,7
3,1	1
3,2	2,3
3,3	2,3
3,4	2
3,5	2,3
3,6	1,7
3,7	1
3,8	1,7
3,9	2
4	3,3
4,1	3,3
4,2	2,3
4,3	3,3
4,4	1,3
4,5	4,7
4,6	9,7
4,7	32,7
4,8	82,3
4,9	152,3
5	188
5,1	232,3
5,2	256,3
5,3	276,7
5,4	272,7
5,5	294
5,6	292
5,7	303,7
5,8	287,3
5,9	269,7
6	277
6,1	267
6,2	275,3
6,3	278,3
6,4	346,7
6,5	398,7
6,6	390,3
6,7	310,7
6,8	224,7
6,9	216,7
7	210
7,1	268,3
7,2	437,7
7,3	638
7,4	687
7,5	397
7,6	179,7
7,7	137,3
7,8	134,7
7,9	132
8	123,7
8,1	111,7
8,2	100,7
8,3	98,7
8,4	97,3
8,5	96
8,6	87,3
8,7	83,7
8,8	81
8,9	78,3
9	74,7
9,1	65
9,2	71,7
9,3	57,3
9,4	46
9,5	48,3
9,6	54,7
9,7	55,3
9,8	54
9,9	47
10	51,3
10,1	50,3
10,2	54,3
10,3	54,7
10,4	52,3
10,5	57
10,6	56,7
10,7	60
10,8	39,3
10,9	47,3
11	50,3
11,1	52,3
11,2	47,3
11,3	50,7
11,4	43,3
11,5	42,3
11,6	43
11,7	41,7
11,8	40
11,9	37
12	37,7
