Tensao [V];Corrente [A]
-5;-3,054932E-10
-4,95;-2,8529E-10
-4,9;-2,804043E-10
-4,85;-2,780298E-10
-4,8;-2,712497E-10
-4,75;-2,648929E-10
-4,7;-2,651522E-10
-4,65;-2,678696E-10
-4,6;-2,62093E-10
-4,55;-2,556212E-10
-4,5;-2,565902E-10
-4,45;-2,585178E-10
-4,4;-2,541589E-10
-4,35;-2,479131E-10
-4,3;-2,483131E-10
-4,25;-2,507136E-10
-4,2;-2,483106E-10
-4,15;-2,414464E-10
-4,1;-2,406581E-10
-4,05;-2,447837E-10
-4;-2,457104E-10
-3,95;-2,382072E-10
-3,9;-2,378036E-10
-3,85;-2,394868E-10
-3,8;-2,394104E-10
-3,75;-2,340076E-10
-3,7;-2,295587E-10
-3,65;-2,32988E-10
-3,6;-2,337421E-10
-3,55;-2,282888E-10
-3,5;-2,259651E-10
-3,45;-2,276013E-10
-3,4;-2,297067E-10
-3,35;-2,274373E-10
-3,3;-2,2239E-10
-3,25;-2,234782E-10
-3,2;-2,269842E-10
-3,15;-2,233649E-10
-3,1;-2,178743E-10
-3,05;-2,182691E-10
-3;-2,215285E-10
-2,95;-2,190011E-10
-2,9;-2,134093E-10
-2,85;-2,131243E-10
-2,8;-2,162983E-10
-2,75;-2,134328E-10
-2,7;-2,082163E-10
-2,65;-2,06038E-10
-2,6;-2,10413E-10
-2,55;-2,086889E-10
-2,5;-2,030246E-10
-2,45;-1,992409E-10
-2,4;-2,020423E-10
-2,35;-2,014572E-10
-2,3;-1,966295E-10
-2,25;-1,930914E-10
-2,2;-1,950721E-10
-2,15;-1,958286E-10
-2,1;-1,904874E-10
-2,05;-1,862447E-10
-2;-1,874048E-10
-1,95;-1,866963E-10
-1,9;-1,822956E-10
-1,85;-1,771149E-10
-1,8;-1,77817E-10
-1,75;-1,778021E-10
-1,7;-1,719316E-10
-1,65;-1,637177E-10
-1,6;-1,625279E-10
-1,55;-1,618369E-10
-1,5;-1,575015E-10
-1,45;-1,489862E-10
-1,4;-1,439993E-10
-1,35;-1,438501E-10
-1,3;-1,37513E-10
-1,25;-1,286808E-10
-1,2;-1,221881E-10
-1,15;-1,182995E-10
-1,1;-1,118366E-10
-1,05;-1,00446E-10
-1;-9,119037E-11
-0,95;-8,630581E-11
-0,9;-7,613205E-11
-0,85;-5,957056E-11
-0,8;-4,364101E-11
-0,75;-2,657236E-11
-0,7;-2,062161E-12
-0,65;4,064088E-11
-0,6;1,160976E-10
-0,55;2,744402E-10
-0,5;6,56817E-10
-0,45;1,525145E-09
-0,4;4,150499E-09
-0,35;6,22495E-09
-0,3;1,053125E-08
-0,25;1,641943E-08
-0,2;2,697646E-08
-0,15;3,651141E-08
-0,1;4,711432E-08
-0,05;5,872499E-08
0;7,145967E-08
0,05;8,46656E-08
0,1;9,814566E-08
0,15;1,115512E-07
0,2;1,246306E-07
0,25;1,371802E-07
0,3;1,492283E-07
0,35;1,608799E-07
0,4;1,720992E-07
0,45;1,828526E-07
0,5;1,932626E-07
0,55;2,033959E-07
0,6;2,131106E-07
0,65;2,227534E-07
0,7;2,323132E-07
0,75;2,416579E-07
0,8;2,508013E-07
0,85;2,597138E-07
0,9;2,68519E-07
0,95;2,771459E-07
1;2,855024E-07
1,05;2,935725E-07
1,1;3,014897E-07
1,15;3,091181E-07
1,2;3,164959E-07
1,25;3,236515E-07
1,3;3,305256E-07
1,35;3,373515E-07
1,4;3,439357E-07
1,45;3,502894E-07
1,5;3,565019E-07
1,55;3,625283E-07
1,6;3,683871E-07
1,65;3,740161E-07
1,7;3,794733E-07
1,75;3,848455E-07
1,8;3,899829E-07
1,85;3,949539E-07
1,9;3,99736E-07
1,95;4,044794E-07
2;4,089062E-07
2,05;4,132973E-07
2,1;4,175695E-07
2,15;4,217407E-07
2,2;4,258707E-07
2,25;4,29736E-07
2,3;4,335257E-07
2,35;4,372633E-07
2,4;4,408988E-07
2,45;4,444436E-07
2,5;4,478985E-07
2,55;4,512208E-07
2,6;4,545709E-07
2,65;4,577504E-07
2,7;4,608346E-07
2,75;4,638904E-07
2,8;4,669177E-07
2,85;4,698032E-07
2,9;4,725476E-07
2,95;4,752513E-07
3;4,779063E-07
3,05;4,80478E-07
3,1;4,829237E-07
3,15;4,853273E-07
3,2;4,876879E-07
3,25;4,89978E-07
3,3;4,921819E-07
3,35;4,943302E-07
3,4;4,964846E-07
3,45;4,985164E-07
3,5;5,005745E-07
3,55;5,025761E-07
3,6;5,045499E-07
3,65;5,065282E-07
3,7;5,084525E-07
3,75;5,103172E-07
3,8;5,12195E-07
3,85;5,140756E-07
3,9;5,158876E-07
3,95;5,176907E-07
4;5,195066E-07
4,05;5,212565E-07
4,1;5,230162E-07
4,15;5,24739E-07
4,2;5,264446E-07
4,25;5,281399E-07
4,3;5,298464E-07
4,35;5,314942E-07
4,4;5,331135E-07
4,45;5,347578E-07
4,5;5,363879E-07
4,55;5,379777E-07
4,6;5,395275E-07
4,65;5,411136E-07
4,7;5,427062E-07
4,75;5,441679E-07
4,8;5,456483E-07
4,85;5,471001E-07
4,9;5,485884E-07
4,95;5,500036E-07
5;5,513804E-07
