Tensao [V];Corrente [A]
-5;-2,863481E-10
-4,95;-2,696341E-10
-4,9;-2,647557E-10
-4,85;-2,58928E-10
-4,8;-2,559279E-10
-4,75;-2,549689E-10
-4,7;-2,548802E-10
-4,65;-2,510222E-10
-4,6;-2,472716E-10
-4,55;-2,479381E-10
-4,5;-2,469323E-10
-4,45;-2,436864E-10
-4,4;-2,394621E-10
-4,35;-2,398211E-10
-4,3;-2,377712E-10
-4,25;-2,353399E-10
-4,2;-2,332875E-10
-4,15;-2,337145E-10
-4,1;-2,327839E-10
-4,05;-2,283053E-10
-4;-2,262566E-10
-3,95;-2,238155E-10
-3,9;-2,260493E-10
-3,85;-2,232416E-10
-3,8;-2,207547E-10
-3,75;-2,199575E-10
-3,7;-2,212534E-10
-3,65;-2,160539E-10
-3,6;-2,12227E-10
-3,55;-2,127525E-10
-3,5;-2,115926E-10
-3,45;-2,084505E-10
-3,4;-2,050344E-10
-3,35;-2,048567E-10
-3,3;-2,040224E-10
-3,25;-2,014863E-10
-3,2;-1,983601E-10
-3,15;-1,980774E-10
-3,1;-1,967827E-10
-3,05;-1,931211E-10
-3;-1,908588E-10
-2,95;-1,889695E-10
-2,9;-1,874652E-10
-2,85;-1,848831E-10
-2,8;-1,816337E-10
-2,75;-1,801169E-10
-2,7;-1,788915E-10
-2,65;-1,755804E-10
-2,6;-1,727726E-10
-2,55;-1,718098E-10
-2,5;-1,697922E-10
-2,45;-1,663192E-10
-2,4;-1,61817E-10
-2,35;-1,580184E-10
-2,3;-1,571558E-10
-2,25;-1,553638E-10
-2,2;-1,519735E-10
-2,15;-1,487376E-10
-2,1;-1,454573E-10
-2,05;-1,424398E-10
-2;-1,385362E-10
-1,95;-1,363765E-10
-1,9;-1,323358E-10
-1,85;-1,282348E-10
-1,8;-1,226861E-10
-1,75;-1,204943E-10
-1,7;-1,171757E-10
-1,65;-1,144951E-10
-1,6;-1,10225E-10
-1,55;-1,042073E-10
-1,5;-9,752318E-11
-1,45;-8,96728E-11
-1,4;-7,801632E-11
-1,35;-6,617349E-11
-1,3;-4,814512E-11
-1,25;-2,187889E-11
-1,2;1,483359E-11
-1,15;6,562496E-11
-1,1;1,351166E-10
-1,05;2,323552E-10
-1;3,638456E-10
-0,95;5,482923E-10
-0,9;8,036597E-10
-0,85;1,174958E-09
-0,8;1,730462E-09
-0,75;2,908217E-09
-0,7;3,93117E-09
-0,65;5,977109E-09
-0,6;9,236174E-09
-0,55;1,433841E-08
-0,5;2,651566E-08
-0,45;4,009449E-08
-0,4;5,800829E-08
-0,35;8,068204E-08
-0,3;1,086111E-07
-0,25;1,397837E-07
-0,2;1,718763E-07
-0,15;2,044542E-07
-0,1;2,373832E-07
-0,05;2,708305E-07
0;3,050481E-07
0,05;3,392187E-07
0,1;3,737117E-07
0,15;4,085013E-07
0,2;4,435514E-07
0,25;4,787861E-07
0,3;5,141645E-07
0,35;5,497373E-07
0,4;5,851574E-07
0,45;6,205909E-07
0,5;6,558271E-07
0,55;6,910302E-07
0,6;7,26192E-07
0,65;7,613716E-07
0,7;7,965961E-07
0,75;8,315624E-07
0,8;8,663226E-07
0,85;9,008166E-07
0,9;9,348449E-07
0,95;9,683292E-07
1;1,00115E-06
1,05;1,033301E-06
1,1;1,064502E-06
1,15;1,094743E-06
1,2;1,124159E-06
1,25;1,152519E-06
1,3;1,179989E-06
1,35;1,206448E-06
1,4;1,232156E-06
1,45;1,256972E-06
1,5;1,280908E-06
1,55;1,304104E-06
1,6;1,326659E-06
1,65;1,348571E-06
1,7;1,369878E-06
1,75;1,390727E-06
1,8;1,411024E-06
1,85;1,430858E-06
1,9;1,45018E-06
1,95;1,469141E-06
2;1,487654E-06
2,05;1,505832E-06
2,1;1,523681E-06
2,15;1,541142E-06
2,2;1,558168E-06
2,25;1,574782E-06
2,3;1,591068E-06
2,35;1,606984E-06
2,4;1,622424E-06
2,45;1,637677E-06
2,5;1,652499E-06
2,55;1,666976E-06
2,6;1,681131E-06
2,65;1,694926E-06
2,7;1,708451E-06
2,75;1,721559E-06
2,8;1,734297E-06
2,85;1,746658E-06
2,9;1,758739E-06
2,95;1,770352E-06
3;1,781682E-06
3,05;1,792572E-06
3,1;1,803239E-06
3,15;1,813526E-06
3,2;1,823491E-06
3,25;1,833186E-06
3,3;1,842603E-06
3,35;1,85184E-06
3,4;1,860789E-06
3,45;1,86952E-06
3,5;1,87804E-06
3,55;1,88635E-06
3,6;1,894409E-06
3,65;1,902272E-06
3,7;1,910043E-06
3,75;1,917591E-06
3,8;1,924999E-06
3,85;1,93225E-06
3,9;1,939281E-06
3,95;1,946191E-06
4;1,952947E-06
4,05;1,959478E-06
4,1;1,965914E-06
4,15;1,972295E-06
4,2;1,978533E-06
4,25;1,984599E-06
4,3;1,990511E-06
4,35;1,996433E-06
4,4;2,002122E-06
4,45;2,00763E-06
4,5;2,013303E-06
4,55;2,018703E-06
4,6;2,023917E-06
4,65;2,029129E-06
4,7;2,034253E-06
4,75;2,039383E-06
4,8;2,044185E-06
4,85;2,048955E-06
4,9;2,053694E-06
4,95;2,058256E-06
5;2,062777E-06
