Tensao [V];Corrente [A]
-5;-8,868899E-10
-4,95;-8,718507E-10
-4,9;-8,659452E-10
-4,85;-8,610825E-10
-4,8;-8,569789E-10
-4,75;-8,557735E-10
-4,7;-8,517995E-10
-4,65;-8,475889E-10
-4,6;-8,458939E-10
-4,55;-8,455264E-10
-4,5;-8,442082E-10
-4,45;-8,395052E-10
-4,4;-8,350354E-10
-4,35;-8,345921E-10
-4,3;-8,322595E-10
-4,25;-8,299827E-10
-4,2;-8,263042E-10
-4,15;-8,26862E-10
-4,1;-8,260194E-10
-4,05;-8,215401E-10
-4;-8,168048E-10
-3,95;-8,152526E-10
-3,9;-8,147797E-10
-3,85;-8,102517E-10
-3,8;-8,074738E-10
-3,75;-8,049824E-10
-3,7;-8,047796E-10
-3,65;-8,004541E-10
-3,6;-7,980007E-10
-3,55;-8,002256E-10
-3,5;-7,934536E-10
-3,45;-7,881011E-10
-3,4;-7,87591E-10
-3,35;-7,84528E-10
-3,3;-7,84518E-10
-3,25;-7,81143E-10
-3,2;-7,73568E-10
-3,15;-7,706516E-10
-3,1;-7,711672E-10
-3,05;-7,685068E-10
-3;-7,622447E-10
-2,95;-7,598462E-10
-2,9;-7,569294E-10
-2,85;-7,551247E-10
-2,8;-7,495875E-10
-2,75;-7,459338E-10
-2,7;-7,438034E-10
-2,65;-7,404456E-10
-2,6;-7,34898E-10
-2,55;-7,31087E-10
-2,5;-7,2901E-10
-2,45;-7,261778E-10
-2,4;-7,195753E-10
-2,35;-7,146736E-10
-2,3;-7,108767E-10
-2,25;-7,07443E-10
-2,2;-6,99811E-10
-2,15;-6,970268E-10
-2,1;-6,928644E-10
-2,05;-6,864788E-10
-2;-6,81792E-10
-1,95;-6,733127E-10
-1,9;-6,68945E-10
-1,85;-6,61308E-10
-1,8;-6,564825E-10
-1,75;-6,52198E-10
-1,7;-6,484145E-10
-1,65;-6,348069E-10
-1,6;-6,176541E-10
-1,55;-5,920623E-10
-1,5;-5,626585E-10
-1,45;-5,255278E-10
-1,4;-4,741983E-10
-1,35;-4,098731E-10
-1,3;-3,238579E-10
-1,25;-2,185624E-10
-1,2;-7,633844E-11
-1,15;1,005928E-10
-1,1;3,319703E-10
-1,05;6,38556E-10
-1;1,04923E-09
-0,95;1,615482E-09
-0,9;2,76051E-09
-0,85;3,544111E-09
-0,8;5,067558E-09
-0,75;7,222249E-09
-0,7;1,017855E-08
-0,65;1,418123E-08
-0,6;1,951276E-08
-0,55;3,007976E-08
-0,5;4,094224E-08
-0,45;5,469308E-08
-0,4;7,146506E-08
-0,35;9,123404E-08
-0,3;1,138097E-07
-0,25;1,380101E-07
-0,2;1,62806E-07
-0,15;1,879504E-07
-0,1;2,134663E-07
-0,05;2,393879E-07
0;2,659904E-07
0,05;2,926812E-07
0,1;3,197251E-07
0,15;3,470416E-07
0,2;3,745387E-07
0,25;4,02302E-07
0,3;4,300955E-07
0,35;4,581996E-07
0,4;4,860601E-07
0,45;5,137858E-07
0,5;5,415131E-07
0,55;5,692508E-07
0,6;5,9682E-07
0,65;6,243475E-07
0,7;6,518566E-07
0,75;6,790997E-07
0,8;7,061686E-07
0,85;7,329587E-07
0,9;7,592286E-07
0,95;7,850968E-07
1;8,10406E-07
1,05;8,351898E-07
1,1;8,592939E-07
1,15;8,828542E-07
1,2;9,056683E-07
1,25;9,277103E-07
1,3;9,490191E-07
1,35;9,697603E-07
1,4;9,898014E-07
1,45;1,009088E-06
1,5;1,027722E-06
1,55;1,045743E-06
1,6;1,063277E-06
1,65;1,080175E-06
1,7;1,096546E-06
1,75;1,112563E-06
1,8;1,128031E-06
1,85;1,143113E-06
1,9;1,157777E-06
1,95;1,17213E-06
2;1,186167E-06
2,05;1,199877E-06
2,1;1,213347E-06
2,15;1,226524E-06
2,2;1,239477E-06
2,25;1,252147E-06
2,3;1,264559E-06
2,35;1,276772E-06
2,4;1,288756E-06
2,45;1,300579E-06
2,5;1,311997E-06
2,55;1,323228E-06
2,6;1,334282E-06
2,65;1,344991E-06
2,7;1,355397E-06
2,75;1,365612E-06
2,8;1,375623E-06
2,85;1,385376E-06
2,9;1,394711E-06
2,95;1,403855E-06
3;1,412864E-06
3,05;1,421631E-06
3,1;1,430087E-06
3,15;1,438472E-06
3,2;1,446576E-06
3,25;1,454679E-06
3,3;1,462476E-06
3,35;1,470119E-06
3,4;1,47768E-06
3,45;1,485139E-06
3,5;1,492497E-06
3,55;1,49963E-06
3,6;1,506571E-06
3,65;1,51351E-06
3,7;1,520328E-06
3,75;1,527074E-06
3,8;1,533715E-06
3,85;1,540288E-06
3,9;1,54668E-06
3,95;1,552972E-06
4;1,559212E-06
4,05;1,565302E-06
4,1;1,571346E-06
4,15;1,577273E-06
4,2;1,583155E-06
4,25;1,588935E-06
4,3;1,594588E-06
4,35;1,600277E-06
4,4;1,60578E-06
4,45;1,611097E-06
4,5;1,616405E-06
4,55;1,62153E-06
4,6;1,626659E-06
4,65;1,631902E-06
4,7;1,636955E-06
4,75;1,641735E-06
4,8;1,646591E-06
4,85;1,651423E-06
4,9;1,656139E-06
4,95;1,660694E-06
5;1,665177E-06
