Tensao [V];Corrente [A]
-5;-7,424659E-10
-4,95;-7,235642E-10
-4,9;-7,184021E-10
-4,85;-7,164569E-10
-4,8;-7,130004E-10
-4,75;-7,102042E-10
-4,7;-7,067559E-10
-4,65;-7,056562E-10
-4,6;-7,02271E-10
-4,55;-6,9839E-10
-4,5;-6,979444E-10
-4,45;-6,95181E-10
-4,4;-6,921837E-10
-4,35;-6,912145E-10
-4,3;-6,883797E-10
-4,25;-6,817922E-10
-4,2;-6,820915E-10
-4,15;-6,786195E-10
-4,1;-6,76652E-10
-4,05;-6,767716E-10
-4;-6,740132E-10
-3,95;-6,713791E-10
-3,9;-6,691058E-10
-3,85;-6,693265E-10
-3,8;-6,652169E-10
-3,75;-6,636856E-10
-3,7;-6,630913E-10
-3,65;-6,618748E-10
-3,6;-6,597559E-10
-3,55;-6,562612E-10
-3,5;-6,530326E-10
-3,45;-6,500707E-10
-3,4;-6,488292E-10
-3,35;-6,446864E-10
-3,3;-6,416958E-10
-3,25;-6,408518E-10
-3,2;-6,394569E-10
-3,15;-6,354985E-10
-3,1;-6,322168E-10
-3,05;-6,300702E-10
-3;-6,273581E-10
-2,95;-6,23135E-10
-2,9;-6,215076E-10
-2,85;-6,187962E-10
-2,8;-6,179691E-10
-2,75;-6,122464E-10
-2,7;-6,080866E-10
-2,65;-6,064879E-10
-2,6;-6,045654E-10
-2,55;-5,956997E-10
-2,5;-5,935634E-10
-2,45;-5,916305E-10
-2,4;-5,895079E-10
-2,35;-5,845284E-10
-2,3;-5,810791E-10
-2,25;-5,751974E-10
-2,2;-5,718788E-10
-2,15;-5,676827E-10
-2,1;-5,654849E-10
-2,05;-5,599891E-10
-2;-5,570233E-10
-1,95;-5,49665E-10
-1,9;-5,428757E-10
-1,85;-5,376656E-10
-1,8;-5,281798E-10
-1,75;-5,254683E-10
-1,7;-5,15047E-10
-1,65;-5,069065E-10
-1,6;-4,939656E-10
-1,55;-4,764065E-10
-1,5;-4,517446E-10
-1,45;-4,219724E-10
-1,4;-3,829279E-10
-1,35;-3,307275E-10
-1,3;-2,595305E-10
-1,25;-1,745425E-10
-1,2;-6,729103E-11
-1,15;7,863099E-11
-1,1;2,654731E-10
-1,05;5,126107E-10
-1;8,397709E-10
-0,95;1,295716E-09
-0,9;1,936004E-09
-0,85;3,184811E-09
-0,8;4,12815E-09
-0,75;5,848992E-09
-0,7;8,24333E-09
-0,65;1,150491E-08
-0,6;1,587098E-08
-0,55;2,476611E-08
-0,5;3,362242E-08
-0,45;4,494632E-08
-0,4;5,882875E-08
-0,35;7,52443E-08
-0,3;9,413301E-08
-0,25;1,145218E-07
-0,2;1,355075E-07
-0,15;1,568251E-07
-0,1;1,784192E-07
-0,05;2,002795E-07
0;2,226672E-07
0,05;2,451937E-07
0,1;2,679801E-07
0,15;2,909391E-07
0,2;3,140424E-07
0,25;3,372091E-07
0,3;3,603988E-07
0,35;3,835528E-07
0,4;4,06487E-07
0,45;4,293657E-07
0,5;4,521696E-07
0,55;4,748498E-07
0,6;4,975178E-07
0,65;5,201646E-07
0,7;5,427369E-07
0,75;5,650772E-07
0,8;5,871956E-07
0,85;6,090664E-07
0,9;6,305796E-07
0,95;6,51683E-07
1;6,723072E-07
1,05;6,925421E-07
1,1;7,121957E-07
1,15;7,311789E-07
1,2;7,49733E-07
1,25;7,676121E-07
1,3;7,849542E-07
1,35;8,01628E-07
1,4;8,178478E-07
1,45;8,334287E-07
1,5;8,484997E-07
1,55;8,630116E-07
1,6;8,770782E-07
1,65;8,907899E-07
1,7;9,040922E-07
1,75;9,168673E-07
1,8;9,293243E-07
1,85;9,416037E-07
1,9;9,535418E-07
1,95;9,650781E-07
2;9,765835E-07
2,05;9,87694E-07
2,1;9,985193E-07
2,15;1,009232E-06
2,2;1,0198E-06
2,25;1,030032E-06
2,3;1,040147E-06
2,35;1,050132E-06
2,4;1,059884E-06
2,45;1,069411E-06
2,5;1,078739E-06
2,55;1,087834E-06
2,6;1,096816E-06
2,65;1,105567E-06
2,7;1,114103E-06
2,75;1,122361E-06
2,8;1,130453E-06
2,85;1,1383E-06
2,9;1,146E-06
2,95;1,153586E-06
3;1,160841E-06
3,05;1,167898E-06
3,1;1,174874E-06
3,15;1,181702E-06
3,2;1,188416E-06
3,25;1,194879E-06
3,3;1,201279E-06
3,35;1,207607E-06
3,4;1,213762E-06
3,45;1,219803E-06
3,5;1,225799E-06
3,55;1,231676E-06
3,6;1,237425E-06
3,65;1,243161E-06
3,7;1,248751E-06
3,75;1,254252E-06
3,8;1,259682E-06
3,85;1,265018E-06
3,9;1,270269E-06
3,95;1,275489E-06
4;1,28055E-06
4,05;1,28555E-06
4,1;1,290463E-06
4,15;1,295451E-06
4,2;1,300296E-06
4,25;1,304979E-06
4,3;1,309636E-06
4,35;1,314232E-06
4,4;1,318757E-06
4,45;1,323202E-06
4,5;1,327626E-06
4,55;1,331946E-06
4,6;1,336168E-06
4,65;1,340349E-06
4,7;1,344472E-06
4,75;1,348517E-06
4,8;1,352492E-06
4,85;1,356387E-06
4,9;1,360224E-06
4,95;1,363976E-06
5;1,367723E-06
