Tensao [V];Corrente [A]
-5;-1,534973E-09
-4,95;-1,516643E-09
-4,9;-1,510192E-09
-4,85;-1,500224E-09
-4,8;-1,500043E-09
-4,75;-1,494805E-09
-4,7;-1,490826E-09
-4,65;-1,483718E-09
-4,6;-1,482794E-09
-4,55;-1,48197E-09
-4,5;-1,472135E-09
-4,45;-1,46737E-09
-4,4;-1,466661E-09
-4,35;-1,465309E-09
-4,3;-1,458927E-09
-4,25;-1,452887E-09
-4,2;-1,450538E-09
-4,15;-1,449714E-09
-4,1;-1,441917E-09
-4,05;-1,432503E-09
-4;-1,430371E-09
-3,95;-1,429078E-09
-3,9;-1,4279E-09
-3,85;-1,4246E-09
-3,8;-1,424531E-09
-3,75;-1,421386E-09
-3,7;-1,415416E-09
-3,65;-1,407115E-09
-3,6;-1,404804E-09
-3,55;-1,401896E-09
-3,5;-1,393835E-09
-3,45;-1,384824E-09
-3,4;-1,380027E-09
-3,35;-1,375572E-09
-3,3;-1,370663E-09
-3,25;-1,363061E-09
-3,2;-1,357352E-09
-3,15;-1,355574E-09
-3,1;-1,346804E-09
-3,05;-1,335807E-09
-3;-1,332181E-09
-2,95;-1,327681E-09
-2,9;-1,320051E-09
-2,85;-1,310036E-09
-2,8;-1,302808E-09
-2,75;-1,298366E-09
-2,7;-1,290165E-09
-2,65;-1,275777E-09
-2,6;-1,267919E-09
-2,55;-1,261035E-09
-2,5;-1,251021E-09
-2,45;-1,238758E-09
-2,4;-1,225252E-09
-2,35;-1,214595E-09
-2,3;-1,195799E-09
-2,25;-1,168462E-09
-2,2;-1,144459E-09
-2,15;-1,117194E-09
-2,1;-1,072913E-09
-2,05;-1,01681E-09
-2;-9,513973E-10
-1,95;-8,739812E-10
-1,9;-7,732027E-10
-1,85;-6,487077E-10
-1,8;-5,038768E-10
-1,75;-3,38343E-10
-1,7;-1,379272E-10
-1,65;1,008419E-10
-1,6;3,760504E-10
-1,55;6,927771E-10
-1,5;1,07965E-09
-1,45;1,555637E-09
-1,4;2,369799E-09
-1,35;2,958762E-09
-1,3;3,979372E-09
-1,25;5,373517E-09
-1,2;7,239968E-09
-1,15;9,709774E-09
-1,1;1,293361E-08
-1,05;1,707659E-08
-1;2,493641E-08
-0,95;3,206203E-08
-0,9;4,063154E-08
-0,85;5,085179E-08
-0,8;6,280818E-08
-0,75;7,664409E-08
-0,7;9,259671E-08
-0,65;1,112905E-07
-0,6;1,332981E-07
-0,55;1,595245E-07
-0,5;1,90672E-07
-0,45;2,269489E-07
-0,4;2,677709E-07
-0,35;3,115323E-07
-0,3;3,577576E-07
-0,25;4,056399E-07
-0,2;4,550116E-07
-0,15;5,056518E-07
-0,1;5,575869E-07
-0,05;6,107678E-07
0;6,655242E-07
0,05;7,208228E-07
0,1;7,770055E-07
0,15;8,341185E-07
0,2;8,922188E-07
0,25;9,510243E-07
0,3;1,010405E-06
0,35;1,070745E-06
0,4;1,131362E-06
0,45;1,192568E-06
0,5;1,254127E-06
0,55;1,316149E-06
0,6;1,378355E-06
0,65;1,440716E-06
0,7;1,503355E-06
0,75;1,565534E-06
0,8;1,627405E-06
0,85;1,688953E-06
0,9;1,750059E-06
0,95;1,810254E-06
1;1,869699E-06
1,05;1,928352E-06
1,1;1,985745E-06
1,15;2,042161E-06
1,2;2,097723E-06
1,25;2,15018E-06
1,3;2,203811E-06
1,35;2,255718E-06
1,4;2,307374E-06
1,45;2,357382E-06
1,5;2,406598E-06
1,55;2,454692E-06
1,6;2,501785E-06
1,65;2,547965E-06
1,7;2,593648E-06
1,75;2,638353E-06
1,8;2,682235E-06
1,85;2,725228E-06
1,9;2,76772E-06
1,95;2,809187E-06
2;2,850018E-06
2,05;2,890235E-06
2,1;2,929866E-06
2,15;2,968296E-06
2,2;3,00645E-06
2,25;3,044041E-06
2,3;3,081173E-06
2,35;3,117066E-06
2,4;3,152394E-06
2,45;3,187097E-06
2,5;3,22104E-06
2,55;3,254133E-06
2,6;3,286461E-06
2,65;3,31818E-06
2,7;3,349181E-06
2,75;3,379646E-06
2,8;3,409754E-06
2,85;3,438754E-06
2,9;3,467221E-06
2,95;3,495101E-06
3;3,522504E-06
3,05;3,54942E-06
3,1;3,575711E-06
3,15;3,601401E-06
3,2;3,626618E-06
3,25;3,65142E-06
3,3;3,675812E-06
3,35;3,699324E-06
3,4;3,72288E-06
3,45;3,745833E-06
3,5;3,768671E-06
3,55;3,791016E-06
3,6;3,812891E-06
3,65;3,833955E-06
3,7;3,854795E-06
3,75;3,875811E-06
3,8;3,896501E-06
3,85;3,916577E-06
3,9;3,936455E-06
3,95;3,955673E-06
4;3,974423E-06
4,05;3,993513E-06
4,1;4,012691E-06
4,15;4,03138E-06
4,2;4,048797E-06
4,25;4,06606E-06
4,3;4,083348E-06
4,35;4,101041E-06
4,4;4,118192E-06
4,45;4,135208E-06
4,5;4,151372E-06
4,55;4,166964E-06
4,6;4,182662E-06
4,65;4,19864E-06
4,7;4,213991E-06
4,75;4,228381E-06
4,8;4,24226E-06
4,85;4,256822E-06
4,9;4,271126E-06
4,95;4,28459E-06
5;4,297815E-06
