Tensao [V];Corrente [A]
-5;-1,181684E-09
-4,95;-1,16457E-09
-4,9;-1,158852E-09
-4,85;-1,153724E-09
-4,8;-1,148501E-09
-4,75;-1,145166E-09
-4,7;-1,146769E-09
-4,65;-1,141948E-09
-4,6;-1,138317E-09
-4,55;-1,13662E-09
-4,5;-1,134781E-09
-4,45;-1,13072E-09
-4,4;-1,126039E-09
-4,35;-1,123645E-09
-4,3;-1,124057E-09
-4,25;-1,119848E-09
-4,2;-1,116452E-09
-4,15;-1,115338E-09
-4,1;-1,112782E-09
-4,05;-1,110012E-09
-4;-1,104472E-09
-3,95;-1,10236E-09
-3,9;-1,101723E-09
-3,85;-1,099723E-09
-3,8;-1,095994E-09
-3,75;-1,092487E-09
-3,7;-1,089628E-09
-3,65;-1,087678E-09
-3,6;-1,082862E-09
-3,55;-1,080053E-09
-3,5;-1,078409E-09
-3,45;-1,074412E-09
-3,4;-1,068509E-09
-3,35;-1,065789E-09
-3,3;-1,063269E-09
-3,25;-1,06075E-09
-3,2;-1,055958E-09
-3,15;-1,052334E-09
-3,1;-1,051563E-09
-3,05;-1,047915E-09
-3;-1,040412E-09
-2,95;-1,03738E-09
-2,9;-1,034526E-09
-2,85;-1,031523E-09
-2,8;-1,026277E-09
-2,75;-1,022149E-09
-2,7;-1,018158E-09
-2,65;-1,013455E-09
-2,6;-1,006093E-09
-2,55;-1,001864E-09
-2,5;-9,997437E-10
-2,45;-9,945264E-10
-2,4;-9,877278E-10
-2,35;-9,813703E-10
-2,3;-9,776938E-10
-2,25;-9,70515E-10
-2,2;-9,620629E-10
-2,15;-9,576473E-10
-2,1;-9,520466E-10
-2,05;-9,468115E-10
-2;-9,370215E-10
-1,95;-9,323478E-10
-1,9;-9,254296E-10
-1,85;-9,182838E-10
-1,8;-9,060165E-10
-1,75;-8,951294E-10
-1,7;-8,844243E-10
-1,65;-8,686613E-10
-1,6;-8,446515E-10
-1,55;-8,146831E-10
-1,5;-7,796689E-10
-1,45;-7,261563E-10
-1,4;-6,55431E-10
-1,35;-5,637329E-10
-1,3;-4,504397E-10
-1,25;-2,998448E-10
-1,2;-1,046709E-10
-1,15;1,451035E-10
-1,1;4,666619E-10
-1,05;8,949091E-10
-1;1,47792E-09
-0,95;2,531039E-09
-0,9;3,405444E-09
-0,85;4,934828E-09
-0,8;7,093953E-09
-0,75;1,007596E-08
-0,7;1,413816E-08
-0,65;2,242436E-08
-0,6;3,066781E-08
-0,55;4,16028E-08
-0,5;5,608961E-08
-0,45;7,438128E-08
-0,4;9,672475E-08
-0,35;1,228695E-07
-0,3;1,524781E-07
-0,25;1,836484E-07
-0,2;2,155036E-07
-0,15;2,478435E-07
-0,1;2,807458E-07
-0,05;3,141668E-07
0;3,485125E-07
0,05;3,830993E-07
0,1;4,181923E-07
0,15;4,537871E-07
0,2;4,898089E-07
0,25;5,261093E-07
0,3;5,627049E-07
0,35;5,997895E-07
0,4;6,370138E-07
0,45;6,743878E-07
0,5;7,118109E-07
0,55;7,493167E-07
0,6;7,868114E-07
0,65;8,241331E-07
0,7;8,614859E-07
0,75;8,985464E-07
0,8;9,354483E-07
0,85;9,719211E-07
0,9;1,007859E-06
0,95;1,043462E-06
1;1,078216E-06
1,05;1,112395E-06
1,1;1,145616E-06
1,15;1,178036E-06
1,2;1,209663E-06
1,25;1,240421E-06
1,3;1,270219E-06
1,35;1,299873E-06
1,4;1,327997E-06
1,45;1,355128E-06
1,5;1,381281E-06
1,55;1,406699E-06
1,6;1,431309E-06
1,65;1,455205E-06
1,7;1,478308E-06
1,75;1,50088E-06
1,8;1,522688E-06
1,85;1,543913E-06
1,9;1,564656E-06
1,95;1,584718E-06
2;1,604327E-06
2,05;1,623469E-06
2,1;1,642318E-06
2,15;1,660757E-06
2,2;1,67879E-06
2,25;1,696452E-06
2,3;1,71368E-06
2,35;1,730637E-06
2,4;1,747269E-06
2,45;1,763657E-06
2,5;1,779581E-06
2,55;1,795206E-06
2,6;1,810411E-06
2,65;1,825323E-06
2,7;1,839836E-06
2,75;1,853862E-06
2,8;1,867699E-06
2,85;1,881189E-06
2,9;1,8943E-06
2,95;1,90712E-06
3;1,919631E-06
3,05;1,931888E-06
3,1;1,943681E-06
3,15;1,955322E-06
3,2;1,966629E-06
3,25;1,977756E-06
3,3;1,988513E-06
3,35;1,999042E-06
3,4;2,009414E-06
3,45;2,019682E-06
3,5;2,029651E-06
3,55;2,039516E-06
3,6;2,049173E-06
3,65;2,058788E-06
3,7;2,06821E-06
3,75;2,07737E-06
3,8;2,086447E-06
3,85;2,095391E-06
3,9;2,102732E-06
3,95;2,111559E-06
4;2,119997E-06
4,05;2,128301E-06
4,1;2,137188E-06
4,15;2,145602E-06
4,2;2,152929E-06
4,25;2,160453E-06
4,3;2,168532E-06
4,35;2,176469E-06
4,4;2,183832E-06
4,45;2,191132E-06
4,5;2,198597E-06
4,55;2,205511E-06
4,6;2,212448E-06
4,65;2,219301E-06
4,7;2,226489E-06
4,75;2,233191E-06
4,8;2,239452E-06
4,85;2,245904E-06
4,9;2,252418E-06
4,95;2,258705E-06
5;2,264883E-06
