Tensao [V];Corrente [A]
-5;-1,186956E-09
-4,95;-1,168761E-09
-4,9;-1,161213E-09
-4,85;-1,158957E-09
-4,8;-1,157981E-09
-4,75;-1,154077E-09
-4,7;-1,149051E-09
-4,65;-1,146883E-09
-4,6;-1,145439E-09
-4,55;-1,144151E-09
-4,5;-1,140031E-09
-4,45;-1,137039E-09
-4,4;-1,137281E-09
-4,35;-1,13442E-09
-4,3;-1,130638E-09
-4,25;-1,127291E-09
-4,2;-1,126369E-09
-4,15;-1,123971E-09
-4,1;-1,117054E-09
-4,05;-1,115794E-09
-4;-1,116604E-09
-3,95;-1,11449E-09
-3,9;-1,108531E-09
-3,85;-1,105004E-09
-3,8;-1,104385E-09
-3,75;-1,102402E-09
-3,7;-1,098069E-09
-3,65;-1,093078E-09
-3,6;-1,091686E-09
-3,55;-1,088822E-09
-3,5;-1,084718E-09
-3,45;-1,080853E-09
-3,4;-1,07928E-09
-3,35;-1,076139E-09
-3,3;-1,072908E-09
-3,25;-1,068167E-09
-3,2;-1,065543E-09
-3,15;-1,063044E-09
-3,1;-1,057152E-09
-3,05;-1,043123E-09
-3;-1,052161E-09
-2,95;-1,049029E-09
-2,9;-1,042231E-09
-2,85;-1,036537E-09
-2,8;-1,034884E-09
-2,75;-1,031128E-09
-2,7;-1,02689E-09
-2,65;-1,020101E-09
-2,6;-1,01691E-09
-2,55;-1,011845E-09
-2,5;-1,004133E-09
-2,45;-9,992522E-10
-2,4;-9,941403E-10
-2,35;-9,902759E-10
-2,3;-9,835721E-10
-2,25;-9,771555E-10
-2,2;-9,7134E-10
-2,15;-9,690357E-10
-2,1;-9,604337E-10
-2,05;-9,52138E-10
-2;-9,463751E-10
-1,95;-9,400263E-10
-1,9;-9,312978E-10
-1,85;-9,216597E-10
-1,8;-9,137454E-10
-1,75;-9,031543E-10
-1,7;-8,906113E-10
-1,65;-8,730444E-10
-1,6;-8,522666E-10
-1,55;-8,239591E-10
-1,5;-7,845705E-10
-1,45;-7,314094E-10
-1,4;-6,61925E-10
-1,35;-5,726006E-10
-1,3;-4,5384E-10
-1,25;-3,004451E-10
-1,2;-1,044288E-10
-1,15;1,453945E-10
-1,1;4,732139E-10
-1,05;9,056269E-10
-1;1,491459E-09
-0,95;2,716912E-09
-0,9;3,453252E-09
-0,85;4,978865E-09
-0,8;7,155166E-09
-0,75;1,016482E-08
-0,7;1,426149E-08
-0,65;2,263858E-08
-0,6;3,094892E-08
-0,55;4,194985E-08
-0,5;5,654994E-08
-0,45;7,501393E-08
-0,4;9,747231E-08
-0,35;1,237784E-07
-0,3;1,535837E-07
-0,25;1,849651E-07
-0,2;2,169999E-07
-0,15;2,495972E-07
-0,1;2,826696E-07
-0,05;3,162442E-07
0;3,508209E-07
0,05;3,856235E-07
0,1;4,209666E-07
0,15;4,567995E-07
0,2;4,929901E-07
0,25;5,295494E-07
0,3;5,66458E-07
0,35;6,037754E-07
0,4;6,412516E-07
0,45;6,788738E-07
0,5;7,165885E-07
0,55;7,543039E-07
0,6;7,919847E-07
0,65;8,296083E-07
0,7;8,672789E-07
0,75;9,046389E-07
0,8;9,417375E-07
0,85;9,785193E-07
0,9;1,014835E-06
0,95;1,050539E-06
1;1,085541E-06
1,05;1,119974E-06
1,1;1,153474E-06
1,15;1,18619E-06
1,2;1,218024E-06
1,25;1,248983E-06
1,3;1,279068E-06
1,35;1,308183E-06
1,4;1,336445E-06
1,45;1,363768E-06
1,5;1,390216E-06
1,55;1,415831E-06
1,6;1,440623E-06
1,65;1,46471E-06
1,7;1,488033E-06
1,75;1,510806E-06
1,8;1,532742E-06
1,85;1,554232E-06
1,9;1,575044E-06
1,95;1,595332E-06
2;1,615164E-06
2,05;1,634441E-06
2,1;1,653445E-06
2,15;1,671999E-06
2,2;1,690131E-06
2,25;1,707932E-06
2,3;1,725284E-06
2,35;1,742409E-06
2,4;1,759147E-06
2,45;1,775713E-06
2,5;1,791761E-06
2,55;1,807504E-06
2,6;1,822828E-06
2,65;1,837809E-06
2,7;1,852355E-06
2,75;1,866587E-06
2,8;1,880596E-06
2,85;1,894122E-06
2,9;1,907439E-06
2,95;1,920266E-06
3;1,932803E-06
3,05;1,945078E-06
3,1;1,957001E-06
3,15;1,968687E-06
3,2;1,980113E-06
3,25;1,991205E-06
3,3;2,002107E-06
3,35;2,012838E-06
3,4;2,023295E-06
3,45;2,033481E-06
3,5;2,043737E-06
3,55;2,053673E-06
3,6;2,063526E-06
3,65;2,073012E-06
3,7;2,082416E-06
3,75;2,091721E-06
3,8;2,099554E-06
3,85;2,108743E-06
3,9;2,117569E-06
3,95;2,126271E-06
4;2,134811E-06
4,05;2,143161E-06
4,1;2,151475E-06
4,15;2,159739E-06
4,2;2,167653E-06
4,25;2,175415E-06
4,3;2,183216E-06
4,35;2,191105E-06
4,4;2,198507E-06
4,45;2,206146E-06
4,5;2,213459E-06
4,55;2,220722E-06
4,6;2,22786E-06
4,65;2,234637E-06
4,7;2,241638E-06
4,75;2,248176E-06
4,8;2,254803E-06
4,85;2,261302E-06
4,9;2,267542E-06
4,95;2,273768E-06
5;2,280068E-06
