Tensao [V];Corrente [A]
-5;-9,643539E-11
-4,95;-8,682436E-11
-4,9;-8,143761E-11
-4,85;-7,764645E-11
-4,8;-7,590144E-11
-4,75;-7,404408E-11
-4,7;-7,245464E-11
-4,65;-6,98741E-11
-4,6;-6,633974E-11
-4,55;-6,702215E-11
-4,5;-6,477606E-11
-4,45;-6,103432E-11
-4,4;-6,046787E-11
-4,35;-5,97262E-11
-4,3;-5,80528E-11
-4,25;-5,614491E-11
-4,2;-5,269312E-11
-4,15;-5,095432E-11
-4,1;-5,090991E-11
-4,05;-4,811836E-11
-4;-4,551075E-11
-3,95;-4,313391E-11
-3,9;-4,307094E-11
-3,85;-4,117911E-11
-3,8;-3,730283E-11
-3,75;-3,716091E-11
-3,7;-3,802477E-11
-3,65;-3,482601E-11
-3,6;-3,284281E-11
-3,55;-2,916646E-11
-3,5;-2,788178E-11
-3,45;-2,761399E-11
-3,4;-2,415114E-11
-3,35;-2,295653E-11
-3,3;-1,828057E-11
-3,25;-1,243469E-11
-3,2;-4,515534E-12
-3,15;-1,534343E-11
-3,1;-1,446106E-11
-3,05;-1,186084E-11
-3;-8,515216E-12
-2,95;-6,043338E-12
-2,9;-6,849199E-12
-2,85;-3,139524E-12
-2,8;2,443543E-13
-2,75;3,991157E-12
-2,7;6,328586E-12
-2,65;9,284315E-12
-2,6;1,20648E-11
-2,55;1,35766E-11
-2,5;1,42677E-11
-2,45;1,741596E-11
-2,4;2,011993E-11
-2,35;2,318056E-11
-2,3;2,4274E-11
-2,25;2,948447E-11
-2,2;3,391991E-11
-2,15;3,695708E-11
-2,1;3,550452E-11
-2,05;3,894897E-11
-2;4,282657E-11
-1,95;4,804942E-11
-1,9;4,888734E-11
-1,85;5,022269E-11
-1,8;5,429775E-11
-1,75;5,907876E-11
-1,7;6,228133E-11
-1,65;6,381166E-11
-1,6;7,205186E-11
-1,55;7,729322E-11
-1,5;8,097213E-11
-1,45;7,977006E-11
-1,4;8,528792E-11
-1,35;8,817822E-11
-1,3;9,73527E-11
-1,25;1,024163E-10
-1,2;1,044698E-10
-1,15;1,063864E-10
-1,1;1,116167E-10
-1,05;1,12077E-10
-1;1,19246E-10
-0,95;1,311183E-10
-0,9;1,458723E-10
-0,85;1,73007E-10
-0,8;1,719751E-10
-0,75;1,652802E-10
-0,7;1,877472E-10
-0,65;1,820284E-10
-0,6;2,001738E-10
-0,55;2,129753E-10
-0,5;2,115029E-10
-0,45;2,318316E-10
-0,4;2,762637E-10
-0,35;3,550281E-10
-0,3;5,102745E-10
-0,25;7,728648E-10
-0,2;1,236556E-09
-0,15;2,018764E-09
-0,1;3,518893E-09
-0,05;4,282037E-09
0;5,766326E-09
0,05;6,812832E-09
0,1;7,978763E-09
0,15;9,122698E-09
0,2;1,031797E-08
0,25;1,148185E-08
0,3;1,252644E-08
0,35;1,353423E-08
0,4;1,4607E-08
0,45;1,56612E-08
0,5;1,666745E-08
0,55;1,762049E-08
0,6;1,86209E-08
0,65;2,002457E-08
0,7;2,097385E-08
0,75;2,194495E-08
0,8;2,293861E-08
0,85;2,382183E-08
0,9;2,472235E-08
0,95;2,56453E-08
1;2,658506E-08
1,05;2,748257E-08
1,1;2,833672E-08
1,15;2,919199E-08
1,2;3,004564E-08
1,25;3,087155E-08
1,3;3,169037E-08
1,35;3,243857E-08
1,4;3,325134E-08
1,45;3,40814E-08
1,5;3,480494E-08
1,55;3,549652E-08
1,6;3,623906E-08
1,65;3,696373E-08
1,7;3,765467E-08
1,75;3,83213E-08
1,8;3,898827E-08
1,85;3,965228E-08
1,9;4,0324E-08
1,95;4,092481E-08
2;4,15072E-08
2,05;4,217796E-08
2,1;4,276471E-08
2,15;4,330186E-08
2,2;4,384487E-08
2,25;4,443751E-08
2,3;4,494484E-08
2,35;4,548209E-08
2,4;4,600043E-08
2,45;4,655697E-08
2,5;4,708567E-08
2,55;4,761481E-08
2,6;4,806359E-08
2,65;4,860619E-08
2,7;4,915248E-08
2,75;4,963022E-08
2,8;5,015304E-08
2,85;5,062144E-08
2,9;5,116999E-08
2,95;5,159002E-08
3;5,199781E-08
3,05;5,245434E-08
3,1;5,294685E-08
3,15;5,346921E-08
3,2;5,387848E-08
3,25;5,433197E-08
3,3;5,477698E-08
3,35;5,516056E-08
3,4;5,556532E-08
3,45;5,596154E-08
3,5;5,640838E-08
3,55;5,688072E-08
3,6;5,718585E-08
3,65;5,752126E-08
3,7;5,790833E-08
3,75;5,833754E-08
3,8;5,872653E-08
3,85;5,903697E-08
3,9;5,942234E-08
3,95;5,975816E-08
4;6,014348E-08
4,05;6,042558E-08
4,1;6,077754E-08
4,15;6,124057E-08
4,2;6,152499E-08
4,25;6,183625E-08
4,3;6,223284E-08
4,35;6,260676E-08
4,4;6,291013E-08
4,45;6,312708E-08
4,5;6,344813E-08
4,55;6,381801E-08
4,6;6,411136E-08
4,65;6,436422E-08
4,7;6,467457E-08
4,75;6,500061E-08
4,8;6,537673E-08
4,85;6,563417E-08
4,9;6,585224E-08
4,95;6,617174E-08
5;6,650481E-08
