Tensao [V];Corrente [A]
-5;-9,907882E-11
-4,95;-8,671699E-11
-4,9;-7,918533E-11
-4,85;-7,527699E-11
-4,8;-7,6305E-11
-4,75;-7,566694E-11
-4,7;-7,154757E-11
-4,65;-6,715792E-11
-4,6;-6,771693E-11
-4,55;-6,753059E-11
-4,5;-6,325079E-11
-4,45;-5,973854E-11
-4,4;-5,857358E-11
-4,35;-6,008165E-11
-4,3;-5,547847E-11
-4,25;-5,351502E-11
-4,2;-5,225255E-11
-4,15;-5,279679E-11
-4,1;-5,077539E-11
-4,05;-4,696202E-11
-4;-4,596117E-11
-3,95;-4,597108E-11
-3,9;-4,322274E-11
-3,85;-3,779398E-11
-3,8;-3,481243E-11
-3,75;-3,549118E-11
-3,7;-3,487043E-11
-3,65;-3,030922E-11
-3,6;-2,763249E-11
-3,55;-2,810761E-11
-3,5;-2,609977E-11
-3,45;-2,240859E-11
-3,4;-2,008358E-11
-3,35;-2,163113E-11
-3,3;-2,130408E-11
-3,25;-1,801896E-11
-3,2;-1,340344E-11
-3,15;-1,321093E-11
-3,1;-1,297891E-11
-3,05;-9,539508E-12
-3;-5,686686E-12
-2,95;-5,642256E-12
-2,9;-4,699414E-12
-2,85;-1,416736E-12
-2,8;2,840954E-12
-2,75;3,815912E-12
-2,7;4,917985E-12
-2,65;7,972443E-12
-2,6;1,327673E-11
-2,55;1,473668E-11
-2,5;1,565115E-11
-2,45;1,709385E-11
-2,4;2,374951E-11
-2,35;2,55143E-11
-2,3;2,534769E-11
-2,25;3,001266E-11
-2,2;3,524411E-11
-2,15;3,947843E-11
-2,1;3,865155E-11
-2,05;4,124195E-11
-2;4,6292E-11
-1,95;4,94156E-11
-1,9;5,090888E-11
-1,85;5,125813E-11
-1,8;5,763238E-11
-1,75;6,291937E-11
-1,7;6,359323E-11
-1,65;6,533823E-11
-1,6;6,941456E-11
-1,55;7,581967E-11
-1,5;7,704395E-11
-1,45;7,965784E-11
-1,4;8,538908E-11
-1,35;9,125604E-11
-1,3;9,321832E-11
-1,25;9,837199E-11
-1,2;1,041453E-10
-1,15;1,108552E-10
-1,1;1,132248E-10
-1,05;1,166642E-10
-1;1,239308E-10
-0,95;1,300446E-10
-0,9;1,363349E-10
-0,85;1,412555E-10
-0,8;1,485776E-10
-0,75;1,58917E-10
-0,7;1,661859E-10
-0,65;1,720358E-10
-0,6;1,823247E-10
-0,55;1,951571E-10
-0,5;2,115943E-10
-0,45;2,322388E-10
-0,4;2,715283E-10
-0,35;3,516158E-10
-0,3;5,003635E-10
-0,25;7,54913E-10
-0,2;1,200698E-09
-0,15;1,976202E-09
-0,1;3,431086E-09
-0,05;4,198557E-09
0;5,598074E-09
0,05;6,606113E-09
0,1;7,718526E-09
0,15;8,826365E-09
0,2;9,983173E-09
0,25;1,111126E-08
0,3;1,211752E-08
0,35;1,310556E-08
0,4;1,414053E-08
0,45;1,516372E-08
0,5;1,611015E-08
0,55;1,702625E-08
0,6;1,800188E-08
0,65;1,897881E-08
0,7;2,029646E-08
0,75;2,119108E-08
0,8;2,209187E-08
0,85;2,305743E-08
0,9;2,392311E-08
0,95;2,476848E-08
1;2,563426E-08
1,05;2,652765E-08
1,1;2,736638E-08
1,15;2,816473E-08
1,2;2,897364E-08
1,25;2,983792E-08
1,3;3,063189E-08
1,35;3,135066E-08
1,4;3,210162E-08
1,45;3,286878E-08
1,5;3,364207E-08
1,55;3,431394E-08
1,6;3,503096E-08
1,65;3,572403E-08
1,7;3,641545E-08
1,75;3,704109E-08
1,8;3,764617E-08
1,85;3,830402E-08
1,9;3,899444E-08
1,95;3,95357E-08
2;4,007595E-08
2,05;4,047732E-08
2,1;4,120999E-08
2,15;4,176581E-08
2,2;4,234041E-08
2,25;4,284971E-08
2,3;4,343298E-08
2,35;4,400908E-08
2,4;4,451852E-08
2,45;4,502906E-08
2,5;4,565431E-08
2,55;4,618454E-08
2,6;4,664887E-08
2,65;4,720681E-08
2,7;4,772749E-08
2,75;4,828143E-08
2,8;4,869478E-08
2,85;4,913565E-08
2,9;4,96218E-08
2,95;5,014979E-08
3;5,058223E-08
3,05;5,099027E-08
3,1;5,142673E-08
3,15;5,19097E-08
3,2;5,230768E-08
3,25;5,274089E-08
3,3;5,31989E-08
3,35;5,361098E-08
3,4;5,40097E-08
3,45;5,435568E-08
3,5;5,477474E-08
3,55;5,517157E-08
3,6;5,556855E-08
3,65;5,590953E-08
3,7;5,62826E-08
3,75;5,67103E-08
3,8;5,707854E-08
3,85;5,740256E-08
3,9;5,775471E-08
3,95;5,813376E-08
4;5,849315E-08
4,05;5,878621E-08
4,1;5,913452E-08
4,15;5,950989E-08
4,2;5,987074E-08
4,25;6,018022E-08
4,3;6,048598E-08
4,35;6,084372E-08
4,4;6,119708E-08
4,45;6,149406E-08
4,5;6,175915E-08
4,55;6,205269E-08
4,6;6,242715E-08
4,65;6,27677E-08
4,7;6,303532E-08
4,75;6,333118E-08
4,8;6,368838E-08
4,85;6,398279E-08
4,9;6,423192E-08
4,95;6,451539E-08
5;6,482789E-08
