0.0000	0.18	0.01
0.0522	0.13	0.01
0.1044	0.1	0.01
0.1564	0.06	0.01
0.2086	0.06	0.01
0.2608	0	0.01
0.3129	0.01	0.01
0.3651	0	0.01
0.4173	0.01	0.01
0.4693	0.02	0.01
0.5215	0	0.01
0.5737	0.05	0.01
0.6259	0	0.01
0.6781	0.12	0.01
0.7302	0.18	0.01
0.7823	0.23	0.01
0.8344	0.31	0.01
0.8866	0.35	0.01
0.9388	0.42	0.01
0.9910	0.53	0.01
1.0432	0.61	0.01
1.0952	0.68	0.01
1.1474	0.79	0.01
1.1996	0.86	0.01
1.2518	0.96	0.01
1.3039	1.01	0.01
1.3561	1.1	0.01
1.4081	1.18	0.01
1.4603	1.25	0.01
1.5125	1.31	0.01
1.5647	1.38	0.01
1.6169	1.45	0.01
1.6689	1.52	0.01
1.7211	1.54	0.01
1.7733	1.59	0.01
1.8254	1.58	0.01
1.8776	1.63	0.01
1.9298	1.61	0.01
1.9818	1.63	0.01
2.0340	1.58	0.01
2.0862	1.61	0.01
2.1384	1.51	0.01
2.1906	1.46	0.01
2.2427	1.39	0.01
2.2948	1.34	0.01
2.3469	1.26	0.01
2.3991	1.19	0.01
2.4513	1.12	0.01
2.5035	1.03	0.01
2.5557	0.98	0.01
2.6077	0.88	0.01
2.6599	0.78	0.01
2.7121	0.7	0.01
2.7643	0.62	0.01
2.8164	0.56	0.01
2.8686	0.48	0.01
2.9206	0.42	0.01
2.9728	0.33	0.01
3.0250	0.28	0.01
3.0772	0.22	0.01
3.1294	0.17	0.01
3.1816	0.12	0.01
