Tensao [V];Corrente [A]
-5;-1,055184E-10
-4,95;-9,070188E-11
-4,9;-8,925303E-11
-4,85;-8,851627E-11
-4,8;-8,484614E-11
-4,75;-8,018119E-11
-4,7;-7,845971E-11
-4,65;-7,717255E-11
-4,6;-7,341473E-11
-4,55;-7,011108E-11
-4,5;-6,964334E-11
-4,45;-7,22362E-11
-4,4;-6,868078E-11
-4,35;-6,519323E-11
-4,3;-6,372099E-11
-4,25;-6,243379E-11
-4,2;-6,106645E-11
-4,15;-5,768134E-11
-4,1;-5,768628E-11
-4,05;-5,663606E-11
-4;-5,466029E-11
-3,95;-5,241797E-11
-3,9;-4,803694E-11
-3,85;-4,751489E-11
-3,8;-4,70904E-11
-3,75;-4,467033E-11
-3,7;-4,159499E-11
-3,65;-4,168754E-11
-3,6;-3,954886E-11
-3,55;-3,673636E-11
-3,5;-3,363388E-11
-3,45;-3,385352E-11
-3,4;-3,334015E-11
-3,35;-3,021297E-11
-3,3;-2,754117E-11
-3,25;-2,595167E-11
-3,2;-2,524824E-11
-3,15;-2,198408E-11
-3,1;-1,780421E-11
-3,05;-1,7724E-11
-3;-1,723898E-11
-2,95;-1,316527E-11
-2,9;-9,255676E-12
-2,85;-7,576072E-12
-2,8;-6,628298E-12
-2,75;-3,228378E-12
-2,7;3,51723E-13
-2,65;2,584254E-12
-2,6;4,277473E-12
-2,55;6,086699E-12
-2,5;1,147242E-11
-2,45;1,352477E-11
-2,4;1,3215E-11
-2,35;1,59745E-11
-2,3;2,134419E-11
-2,25;2,443073E-11
-2,2;2,598326E-11
-2,15;2,837869E-11
-2,1;3,325842E-11
-2,05;3,555267E-11
-2;3,8385E-11
-1,95;4,020285E-11
-1,9;4,463826E-11
-1,85;4,929712E-11
-1,8;5,439775E-11
-1,75;5,505553E-11
-1,7;5,990196E-11
-1,65;6,495323E-11
-1,6;6,792254E-11
-1,55;7,064627E-11
-1,5;7,487062E-11
-1,45;8,051799E-11
-1,4;8,416481E-11
-1,35;8,71786E-11
-1,3;9,235702E-11
-1,25;9,901636E-11
-1,2;1,018561E-10
-1,15;1,065248E-10
-1,1;1,099124E-10
-1,05;1,177084E-10
-1;1,241628E-10
-0,95;1,274443E-10
-0,9;1,345863E-10
-0,85;1,426092E-10
-0,8;1,505261E-10
-0,75;1,574658E-10
-0,7;1,655627E-10
-0,65;1,769847E-10
-0,6;1,891642E-10
-0,55;1,984769E-10
-0,5;2,167629E-10
-0,45;2,46577E-10
-0,4;2,994023E-10
-0,35;3,869215E-10
-0,3;5,528371E-10
-0,25;8,908353E-10
-0,2;1,499755E-09
-0,15;2,702327E-09
-0,1;3,653806E-09
-0,05;4,957002E-09
0;6,733764E-09
0,05;7,910812E-09
0,1;9,409759E-09
0,15;1,087462E-08
0,2;1,218801E-08
0,25;1,346167E-08
0,3;1,479317E-08
0,35;1,610627E-08
0,4;1,730846E-08
0,45;1,848178E-08
0,5;2,027113E-08
0,55;2,143264E-08
0,6;2,262486E-08
0,65;2,38009E-08
0,7;2,495964E-08
0,75;2,604605E-08
0,8;2,717762E-08
0,85;2,833385E-08
0,9;2,943553E-08
0,95;3,05112E-08
1;3,15803E-08
1,05;3,270045E-08
1,1;3,374236E-08
1,15;3,472548E-08
1,2;3,572052E-08
1,25;3,671067E-08
1,3;3,770494E-08
1,35;3,859485E-08
1,4;3,950737E-08
1,45;4,044525E-08
1,5;4,134701E-08
1,55;4,219578E-08
1,6;4,300392E-08
1,65;4,388751E-08
1,7;4,474152E-08
1,75;4,550542E-08
1,8;4,624859E-08
1,85;4,707156E-08
1,9;4,77903E-08
1,95;4,851198E-08
2;4,919812E-08
2,05;4,989107E-08
2,1;5,06117E-08
2,15;5,127884E-08
2,2;5,192074E-08
2,25;5,258112E-08
2,3;5,329197E-08
2,35;5,39517E-08
2,4;5,453808E-08
2,45;5,516961E-08
2,5;5,581391E-08
2,55;5,64348E-08
2,6;5,699347E-08
2,65;5,757972E-08
2,7;5,821235E-08
2,75;5,881304E-08
2,8;5,93501E-08
2,85;5,992103E-08
2,9;6,052372E-08
2,95;6,107875E-08
3;6,136772E-08
3,05;6,18584E-08
3,1;6,23246E-08
3,15;6,291553E-08
3,2;6,344472E-08
3,25;6,386697E-08
3,3;6,452881E-08
3,35;6,486015E-08
3,4;6,534348E-08
3,45;6,586043E-08
3,5;6,646388E-08
3,55;6,692604E-08
3,6;6,739092E-08
3,65;6,780161E-08
3,7;6,824108E-08
3,75;6,868117E-08
3,8;6,911377E-08
3,85;6,948056E-08
3,9;6,988129E-08
3,95;7,032813E-08
4;7,072555E-08
4,05;7,112617E-08
4,1;7,150494E-08
4,15;7,192686E-08
4,2;7,230794E-08
4,25;7,271635E-08
4,3;7,312186E-08
4,35;7,353802E-08
4,4;7,380415E-08
4,45;7,404793E-08
4,5;7,444133E-08
4,55;7,495634E-08
4,6;7,539278E-08
4,65;7,571236E-08
4,7;7,602161E-08
4,75;7,63667E-08
4,8;7,675815E-08
4,85;7,709384E-08
4,9;7,739685E-08
4,95;7,772875E-08
5;7,806496E-08
