Tensao [V];Corrente [A]
-5;-4,746636E-11
-4,95;-3,974392E-11
-4,9;-3,851957E-11
-4,85;-3,676081E-11
-4,8;-3,674602E-11
-4,75;-3,621777E-11
-4,7;-3,604005E-11
-4,65;-3,4891E-11
-4,6;-3,448988E-11
-4,55;-3,47244E-11
-4,5;-3,361979E-11
-4,45;-3,290148E-11
-4,4;-3,20153E-11
-4,35;-3,221893E-11
-4,3;-3,104768E-11
-4,25;-3,04861E-11
-4,2;-3,013067E-11
-4,15;-2,918032E-11
-4,1;-2,878785E-11
-4,05;-2,817076E-11
-4;-2,742159E-11
-3,95;-2,684026E-11
-3,9;-2,742406E-11
-3,85;-2,63071E-11
-3,8;-2,556657E-11
-3,75;-2,399048E-11
-3,7;-2,378191E-11
-3,65;-2,322777E-11
-3,6;-2,236874E-11
-3,55;-2,227619E-11
-3,5;-2,202934E-11
-3,45;-2,162207E-11
-3,4;-2,116909E-11
-3,35;-2,023602E-11
-3,3;-2,091732E-11
-3,25;-1,934742E-11
-3,2;-1,862665E-11
-3,15;-1,749241E-11
-3,1;-1,737268E-11
-3,05;-1,695554E-11
-3;-1,642728E-11
-2,95;-1,624091E-11
-2,9;-1,622118E-11
-2,85;-1,608047E-11
-2,8;-1,505732E-11
-2,75;-1,472654E-11
-2,7;-1,415388E-11
-2,65;-1,314429E-11
-2,6;-1,26395E-11
-2,55;-1,326278E-11
-2,5;-1,13584E-11
-2,45;-1,141147E-11
-2,4;-1,057345E-11
-2,35;-9,719374E-12
-2,3;-8,84432E-12
-2,25;-8,103797E-12
-2,2;-8,139591E-12
-2,15;-7,715026E-12
-2,1;-7,325018E-12
-2,05;-6,955987E-12
-2;-6,794305E-12
-1,95;-6,098217E-12
-1,9;-5,240442E-12
-1,85;-5,18737E-12
-1,8;-4,603591E-12
-1,75;-3,903796E-12
-1,7;-3,162038E-12
-1,65;-2,964565E-12
-1,6;-2,169737E-12
-1,55;-1,835268E-12
-1,5;-9,98476E-13
-1,45;-1,689631E-12
-1,4;-8,960361E-13
-1,35;-1,419374E-13
-1,3;2,419071E-13
-1,25;1,119453E-12
-1,2;8,207663E-13
-1,15;1,388517E-12
-1,1;2,346287E-12
-1,05;2,427748E-12
-1;3,116455E-12
-0,95;3,770604E-12
-0,9;4,801195E-12
-0,85;5,355366E-12
-0,8;5,164058E-12
-0,75;5,971256E-12
-0,7;6,75623E-12
-0,65;6,083569E-12
-0,6;7,047509E-12
-0,55;7,54121E-12
-0,5;8,534771E-12
-0,45;9,265435E-12
-0,4;9,755436E-12
-0,35;1,071198E-11
-0,3;1,142043E-11
-0,25;1,108965E-11
-0,2;1,091192E-11
-0,15;1,148707E-11
-0,1;1,207581E-11
-0,05;1,269046E-11
0;1,180921E-11
0,05;1,137105E-11
0,1;1,220294E-11
0,15;1,336312E-11
0,2;1,362848E-11
0,25;1,341496E-11
0,3;1,395556E-11
0,35;1,419746E-11
0,4;1,540578E-11
0,45;1,525274E-11
0,5;1,519843E-11
0,55;1,596613E-11
0,6;1,692021E-11
0,65;1,705967E-11
0,7;1,69091E-11
0,75;1,791994E-11
0,8;1,899991E-11
0,85;1,970588E-11
0,9;1,890115E-11
0,95;2,002308E-11
1;2,160043E-11
1,05;2,165597E-11
1,1;2,142888E-11
1,15;2,222621E-11
1,2;2,339997E-11
1,25;2,414669E-11
1,3;2,542536E-11
1,35;2,354932E-11
1,4;2,494771E-11
1,45;2,526613E-11
1,5;2,496868E-11
1,55;2,570306E-11
1,6;2,671391E-11
1,65;2,75606E-11
1,7;2,728167E-11
1,75;2,76075E-11
1,8;2,88504E-11
1,85;2,934037E-11
1,9;2,92342E-11
1,95;2,911202E-11
2;3,064373E-11
2,05;3,161383E-11
2,1;3,056843E-11
2,15;3,100042E-11
2,2;3,240868E-11
2,25;3,303074E-11
2,3;3,306283E-11
2,35;3,233214E-11
2,4;3,429583E-11
2,45;3,498823E-11
2,5;3,468342E-11
2,55;3,461921E-11
2,6;3,640144E-11
2,65;3,76863E-11
2,7;3,738515E-11
2,75;3,788009E-11
2,8;3,794547E-11
2,85;4,004369E-11
2,9;3,931425E-11
2,95;3,902666E-11
3;3,977095E-11
3,05;4,144087E-11
3,1;4,110637E-11
3,15;4,041767E-11
3,2;4,153096E-11
3,25;4,341688E-11
3,3;4,359955E-11
3,35;4,415493E-11
3,4;4,422776E-11
3,45;4,465112E-11
3,5;4,495474E-11
3,55;4,328726E-11
3,6;4,481031E-11
3,65;4,540032E-11
3,7;4,685671E-11
3,75;4,658269E-11
3,8;4,689129E-11
3,85;4,844765E-11
3,9;4,829708E-11
3,95;4,870065E-11
4;4,851923E-11
4,05;5,017189E-11
4,1;5,089512E-11
4,15;5,010644E-11
4,2;5,082109E-11
4,25;5,244287E-11
4,3;5,308588E-11
4,35;5,243176E-11
4,4;5,27798E-11
4,45;5,391287E-11
4,5;5,532114E-11
4,55;5,46386E-11
4,6;5,448307E-11
4,65;5,585555E-11
4,7;5,737121E-11
4,75;5,667511E-11
4,8;5,594689E-11
4,85;5,716752E-11
4,9;5,815497E-11
4,95;5,84376E-11
5;5,723917E-11
