Tensao [V];Corrente [A]
-5;-4,821806E-11
-4,95;-4,123247E-11
-4,9;-3,959717E-11
-4,85;-3,860111E-11
-4,8;-3,772482E-11
-4,75;-3,724102E-11
-4,7;-3,653877E-11
-4,65;-3,569086E-11
-4,6;-3,481335E-11
-4,55;-3,424436E-11
-4,5;-3,33434E-11
-4,45;-3,307803E-11
-4,4;-3,13958E-11
-4,35;-2,983453E-11
-4,3;-2,59986E-11
-4,25;-3,039856E-11
-4,2;-3,13489E-11
-4,15;-2,893849E-11
-4,1;-2,661203E-11
-4,05;-2,713655E-11
-4;-2,70489E-11
-3,95;-2,627383E-11
-3,9;-2,634788E-11
-3,85;-2,642441E-11
-3,8;-2,340431E-11
-3,75;-2,60628E-11
-3,7;-2,439661E-11
-3,65;-2,417198E-11
-3,6;-2,457928E-11
-3,55;-2,323397E-11
-3,5;-2,224168E-11
-3,45;-2,174799E-11
-3,4;-2,167516E-11
-3,35;-2,003368E-11
-3,3;-2,02546E-11
-3,25;-2,035333E-11
-3,2;-1,964121E-11
-3,15;-1,876862E-11
-3,1;-1,747762E-11
-3,05;-1,696544E-11
-3;-1,694074E-11
-2,95;-1,665688E-11
-2,9;-1,58534E-11
-2,85;-1,507463E-11
-2,8;-1,469079E-11
-2,75;-1,473275E-11
-2,7;-1,414158E-11
-2,65;-1,416008E-11
-2,6;-1,315049E-11
-2,55;-1,20829E-11
-2,5;-1,141766E-11
-2,45;-1,131522E-11
-2,4;-1,092151E-11
-2,35;-1,071786E-11
-2,3;-9,711994E-12
-2,25;-9,852692E-12
-2,2;-9,753955E-12
-2,15;-8,214891E-12
-2,1;-7,138668E-12
-2,05;-6,674602E-12
-2;-6,574627E-12
-1,95;-5,778568E-12
-1,9;-4,914618E-12
-1,85;-5,586036E-12
-1,8;-5,200959E-12
-1,75;-4,027227E-12
-1,7;-3,136127E-12
-1,65;-3,166984E-12
-1,6;-3,452085E-12
-1,55;-2,446204E-12
-1,5;-9,626862E-13
-1,45;-9,046788E-13
-1,4;-9,157857E-13
-1,35;-6,862239E-13
-1,3;6,269912E-13
-1,25;8,503896E-13
-1,2;5,825587E-13
-1,15;1,952568E-12
-1,1;3,189282E-12
-1,05;2,656088E-12
-1;2,169796E-12
-0,95;3,117697E-12
-0,9;3,996477E-12
-0,85;4,382794E-12
-0,8;4,280352E-12
-0,75;5,459058E-12
-0,7;6,210711E-12
-0,65;7,823867E-12
-0,6;7,468409E-12
-0,55;7,143801E-12
-0,5;8,887787E-12
-0,45;8,702653E-12
-0,4;8,07442E-12
-0,35;8,991461E-12
-0,3;9,585134E-12
-0,25;1,061696E-11
-0,2;9,922078E-12
-0,15;1,093663E-11
-0,1;1,192032E-11
-0,05;1,254484E-11
0;1,15229E-11
0,05;1,189317E-11
0,1;1,149451E-11
0,15;1,271393E-11
0,2;1,253128E-11
0,25;1,317307E-11
0,3;1,327799E-11
0,35;1,428143E-11
0,4;1,457395E-11
0,45;1,526635E-11
0,5;1,473686E-11
0,55;1,533918E-11
0,6;1,664501E-11
0,65;1,733865E-11
0,7;1,759907E-11
0,75;1,851859E-11
0,8;1,97664E-11
0,85;1,941466E-11
0,9;1,864449E-11
0,95;1,968866E-11
1;2,16079E-11
1,05;2,152398E-11
1,1;2,105002E-11
1,15;2,183499E-11
1,2;2,377524E-11
1,25;2,383446E-11
1,3;2,356294E-11
1,35;2,339385E-11
1,4;2,42035E-11
1,45;2,492803E-11
1,5;2,50329E-11
1,55;2,538714E-11
1,6;2,646957E-11
1,65;2,692131E-11
1,7;2,735946E-11
1,75;2,735947E-11
1,8;2,948483E-11
1,85;2,957987E-11
1,9;2,804942E-11
1,95;2,921206E-11
2;3,014885E-11
2,05;3,076967E-11
2,1;3,127201E-11
2,15;3,129423E-11
2,2;3,26963E-11
2,25;3,297899E-11
2,3;3,331591E-11
2,35;3,445391E-11
2,4;3,445016E-11
2,45;3,489327E-11
2,5;3,495255E-11
2,55;3,560916E-11
2,6;3,620158E-11
2,65;3,738027E-11
2,7;3,722477E-11
2,75;3,730499E-11
2,8;3,829239E-11
2,85;3,901442E-11
2,9;3,882806E-11
2,95;3,973893E-11
3;4,01018E-11
3,05;4,002402E-11
3,1;4,085222E-11
3,15;4,115706E-11
3,2;4,211363E-11
3,25;4,242217E-11
3,3;4,339723E-11
3,35;4,398102E-11
3,4;4,36083E-11
3,45;4,442043E-11
3,5;4,447839E-11
3,55;4,484004E-11
3,6;4,484621E-11
3,65;4,567195E-11
3,7;4,643222E-11
3,75;4,699011E-11
3,8;4,770104E-11
3,85;4,82219E-11
3,9;4,904635E-11
3,95;4,938207E-11
4;5,017323E-11
4,05;5,023369E-11
4,1;5,049164E-11
4,15;5,05682E-11
4,2;5,073355E-11
4,25;5,084587E-11
4,3;5,20727E-11
4,35;5,226402E-11
4,4;5,303047E-11
4,45;5,394631E-11
4,5;5,455355E-11
4,55;5,525583E-11
4,6;5,579394E-11
4,65;5,597537E-11
4,7;5,625801E-11
4,75;5,682085E-11
4,8;5,704795E-11
4,85;5,743178E-11
4,9;5,808597E-11
4,95;5,837228E-11
5;5,971144E-11
