Tensao [V];Corrente [A]
-5;-8,413871E-10
-4,95;-8,224857E-10
-4,9;-8,208825E-10
-4,85;-8,160766E-10
-4,8;-8,108468E-10
-4,75;-8,062864E-10
-4,7;-8,076737E-10
-4,65;-8,072106E-10
-4,6;-8,039513E-10
-4,55;-8,039E-10
-4,5;-7,972556E-10
-4,45;-7,936421E-10
-4,4;-7,940786E-10
-4,35;-7,88972E-10
-4,3;-7,88106E-10
-4,25;-7,856591E-10
-4,2;-7,788969E-10
-4,15;-7,730794E-10
-4,1;-7,711315E-10
-4,05;-7,68507E-10
-4;-7,643072E-10
-3,95;-7,590895E-10
-3,9;-7,573575E-10
-3,85;-7,562437E-10
-3,8;-7,524499E-10
-3,75;-7,483185E-10
-3,7;-7,46418E-10
-3,65;-7,44548E-10
-3,6;-7,407148E-10
-3,55;-7,360463E-10
-3,5;-7,338496E-10
-3,45;-7,32199E-10
-3,4;-7,28805E-10
-3,35;-7,218456E-10
-3,3;-7,205522E-10
-3,25;-7,182456E-10
-3,2;-7,122271E-10
-3,15;-7,064823E-10
-3,1;-7,047361E-10
-3,05;-7,031246E-10
-3;-6,977112E-10
-2,95;-6,911003E-10
-2,9;-6,885432E-10
-2,85;-6,861761E-10
-2,8;-6,79679E-10
-2,75;-6,705827E-10
-2,7;-6,705209E-10
-2,65;-6,73349E-10
-2,6;-6,658525E-10
-2,55;-6,561176E-10
-2,5;-6,520041E-10
-2,45;-6,473305E-10
-2,4;-6,350366E-10
-2,35;-6,177183E-10
-2,3;-6,071619E-10
-2,25;-5,944889E-10
-2,2;-5,783469E-10
-2,15;-5,549606E-10
-2,1;-5,32324E-10
-2,05;-5,046267E-10
-2;-4,636632E-10
-1,95;-4,159021E-10
-1,9;-3,60547E-10
-1,85;-2,955125E-10
-1,8;-2,174373E-10
-1,75;-1,242664E-10
-1,7;-1,721446E-11
-1,65;1,03961E-10
-1,6;2,494422E-10
-1,55;4,234662E-10
-1,5;6,278508E-10
-1,45;8,775676E-10
-1,4;1,20286E-09
-1,35;1,628474E-09
-1,3;2,405377E-09
-1,25;2,97001E-09
-1,2;3,962628E-09
-1,15;5,3016E-09
-1,1;7,053723E-09
-1,05;9,306269E-09
-1;1,213095E-08
-0,95;1,56248E-08
-0,9;2,199101E-08
-0,85;2,74699E-08
-0,8;3,384429E-08
-0,75;4,116472E-08
-0,7;4,970019E-08
-0,65;5,96868E-08
-0,6;7,140551E-08
-0,55;8,540029E-08
-0,5;1,02244E-07
-0,45;1,222482E-07
-0,4;1,453197E-07
-0,35;1,708155E-07
-0,3;1,980928E-07
-0,25;2,264646E-07
-0,2;2,557707E-07
-0,15;2,858974E-07
-0,1;3,16629E-07
-0,05;3,47974E-07
0;3,801934E-07
0,05;4,125162E-07
0,1;4,453056E-07
0,15;4,785264E-07
0,2;5,120425E-07
0,25;5,457578E-07
0,3;5,797789E-07
0,35;6,141086E-07
0,4;6,484245E-07
0,45;6,827479E-07
0,5;7,171193E-07
0,55;7,515225E-07
0,6;7,858621E-07
0,65;8,200096E-07
0,7;8,540351E-07
0,75;8,876E-07
0,8;9,207506E-07
0,85;9,53378E-07
0,9;9,854926E-07
0,95;1,017046E-06
1;1,047935E-06
1,05;1,078215E-06
1,1;1,107738E-06
1,15;1,136676E-06
1,2;1,164966E-06
1,25;1,192464E-06
1,3;1,219299E-06
1,35;1,245611E-06
1,4;1,271482E-06
1,45;1,296493E-06
1,5;1,321044E-06
1,55;1,345085E-06
1,6;1,368687E-06
1,65;1,391641E-06
1,7;1,414195E-06
1,75;1,436455E-06
1,8;1,458219E-06
1,85;1,47951E-06
1,9;1,500259E-06
1,95;1,520764E-06
2;1,540832E-06
2,05;1,560515E-06
2,1;1,579822E-06
2,15;1,598872E-06
2,2;1,617455E-06
2,25;1,635744E-06
2,3;1,653634E-06
2,35;1,670964E-06
2,4;1,688158E-06
2,45;1,705E-06
2,5;1,72148E-06
2,55;1,737631E-06
2,6;1,753328E-06
2,65;1,768836E-06
2,7;1,783929E-06
2,75;1,798647E-06
2,8;1,812982E-06
2,85;1,827831E-06
2,9;1,841875E-06
2,95;1,854728E-06
3;1,86786E-06
3,05;1,881094E-06
3,1;1,894064E-06
3,15;1,906245E-06
3,2;1,918273E-06
3,25;1,93037E-06
3,3;1,941688E-06
3,35;1,953142E-06
3,4;1,964613E-06
3,45;1,975734E-06
3,5;1,986516E-06
3,55;1,997133E-06
3,6;2,008006E-06
3,65;2,018311E-06
3,7;2,028457E-06
3,75;2,038618E-06
3,8;2,048538E-06
3,85;2,058387E-06
3,9;2,068056E-06
3,95;2,077664E-06
4;2,087171E-06
4,05;2,096298E-06
4,1;2,10422E-06
4,15;2,113422E-06
4,2;2,12241E-06
4,25;2,131249E-06
4,3;2,139888E-06
4,35;2,148402E-06
4,4;2,156727E-06
4,45;2,164941E-06
4,5;2,173531E-06
4,55;2,181269E-06
4,6;2,18857E-06
4,65;2,196923E-06
4,7;2,204621E-06
4,75;2,21211E-06
4,8;2,218823E-06
4,85;2,226087E-06
4,9;2,233163E-06
4,95;2,240239E-06
5;2,247153E-06
