Angulo (rad)	Voltagem (V)	sig volt (V)
0,00	3,63	0,1
0,05	3,80	0,1
0,10	3,98	0,1
0,16	4,04	0,1
0,21	4,14	0,1
0,26	4,16	0,1
0,31	4,22	0,1
0,37	4,21	0,1
0,42	4,22	0,1
0,47	4,19	0,1
0,52	4,17	0,1
0,57	4,08	0,1
0,63	4,01	0,1
0,68	3,91	0,1
0,73	3,77	0,1
0,78	3,52	0,1
0,83	3,43	0,1
0,89	3,21	0,1
0,94	3,02	0,1
0,99	2,81	0,1
1,04	2,56	0,1
1,10	2,37	0,1
1,15	2,17	0,1
1,20	1,85	0,1
1,25	1,76	0,1
1,30	1,53	0,1
1,36	1,39	0,1
1,41	1,14	0,1
1,46	0,97	0,1
1,51	0,78	0,1
1,56	0,65	0,1
1,62	0,51	0,1
1,67	0,42	0,1
1,72	0,31	0,1
1,77	0,23	0,1
1,83	0,20	0,1
1,88	0,16	0,1
1,93	0,11	0,1
1,98	0,13	0,1
2,03	0,16	0,1
2,09	0,16	0,1
2,14	0,18	0,1
2,19	0,30	0,1
2,24	0,37	0,1
2,29	0,50	0,1
2,35	0,62	0,1
2,40	0,73	0,1
2,45	0,88	0,1
2,50	1,11	0,1
2,56	1,24	0,1
2,61	1,41	0,1
2,66	1,57	0,1
2,71	1,85	0,1
2,76	2,01	0,1
2,82	2,27	0,1
2,87	2,43	0,1
2,92	2,71	0,1
2,97	2,88	0,1
3,03	3,13	0,1
3,08	3,28	0,1
3,13	3,49	0,1
3,18	3,57	0,1
