Ângulo	R
2,5	0
2,6	1,7
2,7	2
2,8	2,7
2,9	1,7
3	2,7
3,1	1,7
3,2	2
3,3	1,3
3,4	2
3,5	2,3
3,6	1,7
3,7	2,3
3,8	2
3,9	2,3
4	2,7
4,1	2,7
4,2	1,3
4,3	2
4,4	2,3
4,5	4
4,6	1,7
4,7	5
4,8	4
4,9	4,7
5	3
5,1	5,7
5,2	3,7
5,3	5
5,4	2,7
5,5	3,7
5,6	5,7
5,7	5,3
5,8	9
5,9	10,3
6	10,7
6,1	12
6,2	15,7
6,3	20,3
6,4	15
6,5	15,7
6,6	19
6,7	21
6,8	17,3
6,9	17,7
7	15,7
7,1	15,3
7,2	16,3
7,3	15,3
7,4	13,3
7,5	15,7
7,6	16,7
7,7	10
7,8	18
7,9	11,3
8	17,3
8,1	20,3
8,2	26
8,3	27
8,4	21
8,5	17,7
8,6	19,3
8,7	19,3
8,8	19
8,9	18
9	11
9,1	15,7
9,2	14,3
9,3	10,3
9,4	12
9,5	10,7
9,6	10,7
9,7	7,7
9,8	7,3
9,9	7
10	4,7
10,1	5
10,2	6
10,3	4,3
10,4	5,7
10,5	6
10,6	9
10,7	4
10,8	6,7
10,9	4,7
11	4
11,1	5
11,2	3,7
11,3	3
11,4	4,7
11,5	4
11,6	5,3
11,7	3,7
11,8	7,3
11,9	4,3
12	3,3
