Ângulo	R
2,5	13,7
2,6	15,3
2,7	10,7
2,8	10
2,9	13,7
3	14
3,1	14
3,2	15,3
3,3	19
3,4	16,7
3,5	19,7
3,6	14,3
3,7	20,3
3,8	21,7
3,9	32,7
4	47,3
4,1	72
4,2	76,7
4,3	87
4,4	104,7
4,5	116
4,6	112
4,7	123,3
4,8	119
4,9	120
5	120,7
5,1	106
5,2	120,3
5,3	133,3
5,4	147
5,5	158,7
5,6	145,7
5,7	116,7
5,8	106,3
5,9	116,3
6	166,3
6,1	195
6,2	221,3
6,3	195
6,4	105,7
6,5	74,7
6,6	69,7
6,7	66,7
6,8	65,7
6,9	56,7
7	60,3
7,1	60
7,2	51,3
7,3	50
7,4	51,7
7,5	50
7,6	51,3
7,7	50
7,8	48,7
7,9	48,7
8	63,7
8,1	72
8,2	65,7
8,3	79,7
8,4	71,3
8,5	73,7
8,6	70
8,7	68,7
8,8	63,7
8,9	66
9	58
9,1	58,7
9,2	56
9,3	52
9,4	49,7
9,5	52,3
9,6	57
9,7	55,3
9,8	50,3
9,9	47,3
10	48
10,1	50,3
10,2	47,7
10,3	46,7
10,4	41,3
10,5	47,3
10,6	43,3
10,7	51,3
10,8	44,3
10,9	48
11	58
11,1	50,3
11,2	47,7
11,3	46,3
11,4	47
11,5	45,7
11,6	33,3
11,7	34,7
11,8	40,3
11,9	45
12	36,3
