Ângulo	R
2,5	32
2,6	38
2,7	39
2,8	47,7
2,9	77
3	132,7
3,1	200
3,2	261,7
3,3	294,3
3,4	310
3,5	352
3,6	354,3
3,7	373,3
3,8	378,7
3,9	353
4	351,7
4,1	358,3
4,2	326
4,3	347,3
4,4	338,7
4,5	308,3
4,6	301,3
4,7	300,7
4,8	284
4,9	269
5	248
5,1	258,7
5,2	280
5,3	302
5,4	378,7
5,5	419,7
5,6	369,3
5,7	274
5,8	241,3
5,9	264
6	438
6,1	660,7
6,2	727
6,3	617,7
6,4	344,7
6,5	237
6,6	203,3
6,7	208
6,8	198,7
6,9	208
7	201,7
7,1	194
7,2	194,3
7,3	189
7,4	190,3
7,5	170,3
7,6	171
7,7	184,3
7,8	174
7,9	182,7
8	179,3
8,1	197,3
8,2	194,3
8,3	181,3
8,4	180,7
8,5	184,7
8,6	179
8,7	166,7
8,8	154
8,9	155,7
9	138,7
9,1	148,7
9,2	148,7
9,3	157,3
9,4	150,7
9,5	135
9,6	138
9,7	135,7
9,8	128,3
9,9	139
10	135,3
10,1	123
10,2	137
10,3	126,7
10,4	128,3
10,5	132
10,6	121,7
10,7	118
10,8	139,3
10,9	137
11	150
11,1	157,7
11,2	141,3
11,3	127
11,4	126,3
11,5	114
11,6	121,3
11,7	119,7
11,8	113,3
11,9	116,7
12	104,7
