Ângulo	R
2,5	2,3
2,6	9
2,7	5,3
2,8	7
2,9	5,7
3	5,7
3,1	6,7
3,2	6,3
3,3	8
3,4	7,3
3,5	6,7
3,6	7,7
3,7	7,7
3,8	6,7
3,9	9,3
4	7,3
4,1	7,3
4,2	11,7
4,3	8,3
4,4	8,7
4,5	10,7
4,6	15,7
4,7	19
4,8	29
4,9	40,7
5	51
5,1	51
5,2	48,7
5,3	59,3
5,4	62
5,5	65,3
5,6	62,3
5,7	55,7
5,8	43,3
5,9	55,3
6	64
6,1	78,3
6,2	78,7
6,3	61
6,4	54
6,5	53
6,6	46,7
6,7	35,7
6,8	37
6,9	41,7
7	40
7,1	31,3
7,2	26,7
7,3	35
7,4	31,7
7,5	34
7,6	28,3
7,7	27
7,8	28,7
7,9	22,3
8	31
8,1	35,3
8,2	39,3
8,3	46,3
8,4	44,7
8,5	35,7
8,6	33,7
8,7	33,7
8,8	27
8,9	36,7
9	29,3
9,1	28,3
9,2	28,7
9,3	20,7
9,4	26,7
9,5	21
9,6	29
9,7	21,3
9,8	26,3
9,9	21
10	20,3
10,1	26
10,2	20,7
10,3	20,7
10,4	19
10,5	21,7
10,6	21
10,7	21
10,8	22
10,9	17,3
11	22,7
11,1	19,3
11,2	20,3
11,3	20,3
11,4	19,7
11,5	15
11,6	19
11,7	17,3
11,8	14,3
11,9	16
12	14,7
