Tensao [V];Corrente [A]
-5;-1,385343E-09
-4,95;-1,363289E-09
-4,9;-1,356706E-09
-4,85;-1,350052E-09
-4,8;-1,348238E-09
-4,75;-1,345211E-09
-4,7;-1,339081E-09
-4,65;-1,332986E-09
-4,6;-1,330778E-09
-4,55;-1,33069E-09
-4,5;-1,324468E-09
-4,45;-1,32155E-09
-4,4;-1,317544E-09
-4,35;-1,314473E-09
-4,3;-1,309728E-09
-4,25;-1,306161E-09
-4,2;-1,303531E-09
-4,15;-1,299734E-09
-4,1;-1,294817E-09
-4,05;-1,29032E-09
-4;-1,287244E-09
-3,95;-1,283865E-09
-3,9;-1,278228E-09
-3,85;-1,272747E-09
-3,8;-1,271069E-09
-3,75;-1,267363E-09
-3,7;-1,261426E-09
-3,65;-1,256481E-09
-3,6;-1,253174E-09
-3,55;-1,249656E-09
-3,5;-1,243144E-09
-3,45;-1,23758E-09
-3,4;-1,232039E-09
-3,35;-1,228745E-09
-3,3;-1,221998E-09
-3,25;-1,215384E-09
-3,2;-1,211443E-09
-3,15;-1,208706E-09
-3,1;-1,201557E-09
-3,05;-1,194917E-09
-3;-1,187343E-09
-2,95;-1,181182E-09
-2,9;-1,175123E-09
-2,85;-1,164864E-09
-2,8;-1,159801E-09
-2,75;-1,154373E-09
-2,7;-1,143928E-09
-2,65;-1,136988E-09
-2,6;-1,130694E-09
-2,55;-1,123416E-09
-2,5;-1,112586E-09
-2,45;-1,100009E-09
-2,4;-1,089107E-09
-2,35;-1,077238E-09
-2,3;-1,061562E-09
-2,25;-1,041952E-09
-2,2;-1,016255E-09
-2,15;-9,857953E-10
-2,1;-9,472454E-10
-2,05;-8,967768E-10
-2;-8,361329E-10
-1,95;-7,647844E-10
-1,9;-6,739071E-10
-1,85;-5,646105E-10
-1,8;-4,318727E-10
-1,75;-2,806457E-10
-1,7;-1,015586E-10
-1,65;1,101943E-10
-1,6;3,570623E-10
-1,55;6,469932E-10
-1,5;9,95418E-10
-1,45;1,426703E-09
-1,4;1,972881E-09
-1,35;3,052006E-09
-1,3;3,663555E-09
-1,25;4,893842E-09
-1,2;6,582611E-09
-1,15;8,827339E-09
-1,1;1,175662E-08
-1,05;1,551296E-08
-1;2,263736E-08
-0,95;2,908595E-08
-0,9;3,687504E-08
-0,85;4,609867E-08
-0,8;5,687027E-08
-0,75;6,933004E-08
-0,7;8,373316E-08
-0,65;1,005808E-07
-0,6;1,204004E-07
-0,55;1,440434E-07
-0,5;1,722048E-07
-0,45;2,051863E-07
-0,4;2,424425E-07
-0,35;2,826385E-07
-0,3;3,25124E-07
-0,25;3,691618E-07
-0,2;4,146358E-07
-0,15;4,6127E-07
-0,1;5,089933E-07
-0,05;5,57782E-07
0;6,081008E-07
0,05;6,588423E-07
0,1;7,104368E-07
0,15;7,628194E-07
0,2;8,159672E-07
0,25;8,697704E-07
0,3;9,242132E-07
0,35;9,793509E-07
0,4;1,034775E-06
0,45;1,090571E-06
0,5;1,146689E-06
0,55;1,203145E-06
0,6;1,259805E-06
0,65;1,316374E-06
0,7;1,373144E-06
0,75;1,429582E-06
0,8;1,485737E-06
0,85;1,541295E-06
0,9;1,596224E-06
0,95;1,650608E-06
1;1,704389E-06
1,05;1,757004E-06
1,1;1,808403E-06
1,15;1,859116E-06
1,2;1,908828E-06
1,25;1,95746E-06
1,3;2,004954E-06
1,35;2,051344E-06
1,4;2,09708E-06
1,45;2,140393E-06
1,5;2,184474E-06
1,55;2,227329E-06
1,6;2,269322E-06
1,65;2,310689E-06
1,7;2,351133E-06
1,75;2,390888E-06
1,8;2,429642E-06
1,85;2,468149E-06
1,9;2,505625E-06
1,95;2,542745E-06
2;2,578922E-06
2,05;2,614452E-06
2,1;2,64982E-06
2,15;2,684436E-06
2,2;2,718267E-06
2,25;2,751409E-06
2,3;2,784224E-06
2,35;2,816203E-06
2,4;2,847182E-06
2,45;2,878312E-06
2,5;2,90843E-06
2,55;2,938145E-06
2,6;2,966686E-06
2,65;2,994676E-06
2,7;3,022269E-06
2,75;3,049236E-06
2,8;3,075587E-06
2,85;3,101454E-06
2,9;3,126807E-06
2,95;3,151822E-06
3;3,175849E-06
3,05;3,199164E-06
3,1;3,222445E-06
3,15;3,245747E-06
3,2;3,268311E-06
3,25;3,290079E-06
3,3;3,311292E-06
3,35;3,33242E-06
3,4;3,353148E-06
3,45;3,37345E-06
3,5;3,393466E-06
3,55;3,413219E-06
3,6;3,432497E-06
3,65;3,451187E-06
3,7;3,469876E-06
3,75;3,488365E-06
3,8;3,506705E-06
3,85;3,524719E-06
3,9;3,541984E-06
3,95;3,558489E-06
4;3,575829E-06
4,05;3,592579E-06
4,1;3,609543E-06
4,15;3,625632E-06
4,2;3,641609E-06
4,25;3,657376E-06
4,3;3,672852E-06
4,35;3,687954E-06
4,4;3,702803E-06
4,45;3,718295E-06
4,5;3,733334E-06
4,55;3,747085E-06
4,6;3,761249E-06
4,65;3,775125E-06
4,7;3,787766E-06
4,75;3,800843E-06
4,8;3,81383E-06
4,85;3,826931E-06
4,9;3,839882E-06
4,95;3,851851E-06
5;3,863388E-06
