Tensao [V];Corrente [A]
-5;-1,397316E-09
-4,95;-1,375893E-09
-4,9;-1,364131E-09
-4,85;-1,361801E-09
-4,8;-1,362109E-09
-4,75;-1,356463E-09
-4,7;-1,347625E-09
-4,65;-1,344962E-09
-4,6;-1,345698E-09
-4,55;-1,33973E-09
-4,5;-1,332391E-09
-4,45;-1,329072E-09
-4,4;-1,329964E-09
-4,35;-1,326548E-09
-4,3;-1,317505E-09
-4,25;-1,313587E-09
-4,2;-1,315896E-09
-4,15;-1,310389E-09
-4,1;-1,303152E-09
-4,05;-1,299188E-09
-4;-1,299114E-09
-3,95;-1,294759E-09
-3,9;-1,287883E-09
-3,85;-1,283338E-09
-3,8;-1,282188E-09
-3,75;-1,275835E-09
-3,7;-1,266793E-09
-3,65;-1,265215E-09
-3,6;-1,266079E-09
-3,55;-1,259733E-09
-3,5;-1,245897E-09
-3,45;-1,239956E-09
-3,4;-1,240889E-09
-3,35;-1,236247E-09
-3,3;-1,226097E-09
-3,25;-1,226441E-09
-3,2;-1,221185E-09
-3,15;-1,217653E-09
-3,1;-1,204925E-09
-3,05;-1,198553E-09
-3;-1,198702E-09
-2,95;-1,191152E-09
-2,9;-1,177933E-09
-2,85;-1,17376E-09
-2,8;-1,173034E-09
-2,75;-1,163117E-09
-2,7;-1,149353E-09
-2,65;-1,145982E-09
-2,6;-1,138669E-09
-2,55;-1,130608E-09
-2,5;-1,1137E-09
-2,45;-1,104394E-09
-2,4;-1,100778E-09
-2,35;-1,08483E-09
-2,3;-1,066533E-09
-2,25;-1,04385E-09
-2,2;-1,025062E-09
-2,15;-9,945121E-10
-2,1;-9,492179E-10
-2,05;-9,006946E-10
-2;-8,453689E-10
-1,95;-7,680506E-10
-1,9;-6,75171E-10
-1,85;-5,642901E-10
-1,8;-4,390958E-10
-1,75;-2,843049E-10
-1,7;-9,68728E-11
-1,65;1,141583E-10
-1,6;3,550435E-10
-1,55;6,488504E-10
-1,5;1,002775E-09
-1,45;1,435068E-09
-1,4;1,975231E-09
-1,35;2,964792E-09
-1,3;3,678232E-09
-1,25;4,930705E-09
-1,2;6,635813E-09
-1,15;8,890551E-09
-1,1;1,182944E-08
-1,05;1,561226E-08
-1;2,275984E-08
-0,95;2,927926E-08
-0,9;3,705456E-08
-0,85;4,627455E-08
-0,8;5,715081E-08
-0,75;6,971037E-08
-0,7;8,408283E-08
-0,65;1,009997E-07
-0,6;1,209873E-07
-0,55;1,448E-07
-0,5;1,730354E-07
-0,45;2,061176E-07
-0,4;2,435528E-07
-0,35;2,838216E-07
-0,3;3,265041E-07
-0,25;3,707593E-07
-0,2;4,16352E-07
-0,15;4,630634E-07
-0,1;5,109819E-07
-0,05;5,59996E-07
0;6,105266E-07
0,05;6,614931E-07
0,1;7,131357E-07
0,15;7,65593E-07
0,2;8,190352E-07
0,25;8,731915E-07
0,3;9,277164E-07
0,35;9,829351E-07
0,4;1,038522E-06
0,45;1,094684E-06
0,5;1,151033E-06
0,55;1,207522E-06
0,6;1,264323E-06
0,65;1,321227E-06
0,7;1,378159E-06
0,75;1,434743E-06
0,8;1,491186E-06
0,85;1,547064E-06
0,9;1,602128E-06
0,95;1,656489E-06
1;1,710353E-06
1,05;1,76368E-06
1,1;1,815451E-06
1,15;1,866181E-06
1,2;1,915917E-06
1,25;1,964673E-06
1,3;2,012446E-06
1,35;2,059158E-06
1,4;2,103388E-06
1,45;2,148732E-06
1,5;2,192627E-06
1,55;2,235491E-06
1,6;2,277786E-06
1,65;2,319103E-06
1,7;2,360046E-06
1,75;2,399779E-06
1,8;2,438895E-06
1,85;2,4774E-06
1,9;2,51524E-06
1,95;2,552071E-06
2;2,588652E-06
2,05;2,624267E-06
2,1;2,659736E-06
2,15;2,694277E-06
2,2;2,72842E-06
2,25;2,761622E-06
2,3;2,794366E-06
2,35;2,826157E-06
2,4;2,857949E-06
2,45;2,888714E-06
2,5;2,918369E-06
2,55;2,947746E-06
2,6;2,976939E-06
2,65;3,005429E-06
2,7;3,03267E-06
2,75;3,059324E-06
2,8;3,086074E-06
2,85;3,112532E-06
2,9;3,137758E-06
2,95;3,161786E-06
3;3,186103E-06
3,05;3,210118E-06
3,1;3,233747E-06
3,15;3,256613E-06
3,2;3,278903E-06
3,25;3,301066E-06
3,3;3,322584E-06
3,35;3,343085E-06
3,4;3,363976E-06
3,45;3,384713E-06
3,5;3,404566E-06
3,55;3,424295E-06
3,6;3,443311E-06
3,65;3,462826E-06
3,7;3,481724E-06
3,75;3,500305E-06
3,8;3,517981E-06
3,85;3,535823E-06
3,9;3,553136E-06
3,95;3,570426E-06
4;3,587641E-06
4,05;3,604006E-06
4,1;3,620571E-06
4,15;3,63767E-06
4,2;3,653424E-06
4,25;3,668889E-06
4,3;3,684842E-06
4,35;3,700242E-06
4,4;3,714634E-06
4,45;3,729411E-06
4,5;3,744171E-06
4,55;3,758777E-06
4,6;3,772704E-06
4,65;3,786491E-06
4,7;3,799807E-06
4,75;3,812645E-06
4,8;3,825446E-06
4,85;3,8379E-06
4,9;3,851438E-06
4,95;3,863963E-06
5;3,875504E-06
