Tensao [V];Corrente [A]
-5;-2,534912E-10
-4,95;-2,360441E-10
-4,9;-2,274581E-10
-4,85;-2,238332E-10
-4,8;-2,261364E-10
-4,75;-2,230906E-10
-4,7;-2,190955E-10
-4,65;-2,168766E-10
-4,6;-2,185574E-10
-4,55;-2,161695E-10
-4,5;-2,108699E-10
-4,45;-2,092754E-10
-4,4;-2,099629E-10
-4,35;-2,088188E-10
-4,3;-2,037008E-10
-4,25;-2,015879E-10
-4,2;-2,025383E-10
-4,15;-2,025961E-10
-4,1;-1,97319E-10
-4,05;-1,942719E-10
-4;-1,952664E-10
-3,95;-1,95E-10
-3,9;-1,917654E-10
-3,85;-1,869572E-10
-3,8;-1,883405E-10
-3,75;-1,890662E-10
-3,7;-1,858625E-10
-3,65;-1,815726E-10
-3,6;-1,815084E-10
-3,55;-1,817552E-10
-3,5;-1,791919E-10
-3,45;-1,754387E-10
-3,4;-1,75909E-10
-3,35;-1,76589E-10
-3,3;-1,72346E-10
-3,25;-1,69205E-10
-3,2;-1,678746E-10
-3,15;-1,686881E-10
-3,1;-1,650732E-10
-3,05;-1,602847E-10
-3;-1,594146E-10
-2,95;-1,619903E-10
-2,9;-1,575622E-10
-2,85;-1,519948E-10
-2,8;-1,5169E-10
-2,75;-1,517555E-10
-2,7;-1,507411E-10
-2,65;-1,448369E-10
-2,6;-1,417651E-10
-2,55;-1,421206E-10
-2,5;-1,401768E-10
-2,45;-1,345453E-10
-2,4;-1,32525E-10
-2,35;-1,336197E-10
-2,3;-1,314033E-10
-2,25;-1,259075E-10
-2,2;-1,227803E-10
-2,15;-1,228444E-10
-2,1;-1,215535E-10
-2,05;-1,152482E-10
-2;-1,118902E-10
-1,95;-1,111596E-10
-1,9;-1,104079E-10
-1,85;-1,049506E-10
-1,8;-1,007458E-10
-1,75;-9,891189E-11
-1,7;-9,626952E-11
-1,65;-8,992609E-11
-1,6;-8,356529E-11
-1,55;-8,057743E-11
-1,5;-8,135124E-11
-1,45;-7,147555E-11
-1,4;-6,834455E-11
-1,35;-5,643503E-11
-1,3;-4,11094E-11
-1,25;-1,493441E-11
-1,2;1,6559E-11
-1,15;5,686369E-11
-1,1;1,136372E-10
-1,05;1,950576E-10
-1;3,043813E-10
-0,95;4,507912E-10
-0,9;6,570473E-10
-0,85;9,612756E-10
-0,8;1,412413E-09
-0,75;2,098732E-09
-0,7;3,529096E-09
-0,65;4,898912E-09
-0,6;7,542795E-09
-0,55;1,175331E-08
-0,5;1,830184E-08
-0,45;3,284408E-08
-0,4;4,805297E-08
-0,35;6,724801E-08
-0,3;9,093418E-08
-0,25;1,177774E-07
-0,2;1,456207E-07
-0,15;1,738987E-07
-0,1;2,025093E-07
-0,05;2,314196E-07
0;2,610675E-07
0,05;2,906823E-07
0,1;3,204802E-07
0,15;3,50426E-07
0,2;3,80561E-07
0,25;4,107653E-07
0,3;4,409749E-07
0,35;4,711122E-07
0,4;5,015772E-07
0,45;5,306752E-07
0,5;5,602845E-07
0,55;5,896012E-07
0,6;6,18814E-07
0,65;6,484105E-07
0,7;6,782218E-07
0,75;7,08289E-07
0,8;7,378962E-07
0,85;7,671094E-07
0,9;7,950026E-07
0,95;8,230459E-07
1;8,489943E-07
1,05;8,756136E-07
1,1;9,013245E-07
1,15;9,232741E-07
1,2;9,463067E-07
1,25;9,690731E-07
1,3;9,917015E-07
1,35;1,013769E-06
1,4;1,034149E-06
1,45;1,054264E-06
1,5;1,073462E-06
1,55;1,092003E-06
1,6;1,110305E-06
1,65;1,127915E-06
1,7;1,145224E-06
1,75;1,16213E-06
1,8;1,178474E-06
1,85;1,194872E-06
1,9;1,210558E-06
1,95;1,225956E-06
2;1,240971E-06
2,05;1,255762E-06
2,1;1,270313E-06
2,15;1,284484E-06
2,2;1,298286E-06
2,25;1,311749E-06
2,3;1,324931E-06
2,35;1,339862E-06
2,4;1,353106E-06
2,45;1,365324E-06
2,5;1,377614E-06
2,55;1,389837E-06
2,6;1,401817E-06
2,65;1,413516E-06
2,7;1,424663E-06
2,75;1,435609E-06
2,8;1,446117E-06
2,85;1,456226E-06
2,9;1,466238E-06
2,95;1,475717E-06
3;1,484993E-06
3,05;1,49394E-06
3,1;1,502569E-06
3,15;1,511092E-06
3,2;1,519276E-06
3,25;1,527073E-06
3,3;1,534632E-06
3,35;1,542248E-06
3,4;1,549542E-06
3,45;1,55679E-06
3,5;1,563719E-06
3,55;1,570527E-06
3,6;1,577236E-06
3,65;1,583732E-06
3,7;1,590082E-06
3,75;1,596348E-06
3,8;1,602357E-06
3,85;1,608391E-06
3,9;1,61415E-06
3,95;1,619913E-06
4;1,625589E-06
4,05;1,630993E-06
4,1;1,636311E-06
4,15;1,641561E-06
4,2;1,646716E-06
4,25;1,651669E-06
4,3;1,656586E-06
4,35;1,661465E-06
4,4;1,666219E-06
4,45;1,670895E-06
4,5;1,675385E-06
4,55;1,67986E-06
4,6;1,684265E-06
4,65;1,688578E-06
4,7;1,692705E-06
4,75;1,696768E-06
4,8;1,700846E-06
4,85;1,704866E-06
4,9;1,708687E-06
4,95;1,712451E-06
5;1,716343E-06
