Tensao [V];Corrente [A]
-5;-2,395653E-10
-4,95;-2,232568E-10
-4,9;-2,173801E-10
-4,85;-2,139739E-10
-4,8;-2,079875E-10
-4,75;-2,07353E-10
-4,7;-2,024328E-10
-4,65;-2,001818E-10
-4,6;-1,996498E-10
-4,55;-1,973137E-10
-4,5;-1,933387E-10
-4,45;-1,921083E-10
-4,4;-1,907299E-10
-4,35;-1,892181E-10
-4,3;-1,841237E-10
-4,25;-1,79396E-10
-4,2;-1,686371E-10
-4,15;-1,796945E-10
-4,1;-1,752013E-10
-4,05;-1,819506E-10
-4;-1,811891E-10
-3,95;-1,767266E-10
-3,9;-1,781038E-10
-3,85;-1,757529E-10
-3,8;-1,799327E-10
-3,75;-1,783866E-10
-3,7;-1,783643E-10
-3,65;-1,764686E-10
-3,6;-1,743189E-10
-3,55;-1,711953E-10
-3,5;-1,700378E-10
-3,45;-1,68336E-10
-3,4;-1,671636E-10
-3,35;-1,6444E-10
-3,3;-1,66153E-10
-3,25;-1,655222E-10
-3,2;-1,628431E-10
-3,15;-1,607341E-10
-3,1;-1,602318E-10
-3,05;-1,578117E-10
-3;-1,573033E-10
-2,95;-1,568071E-10
-2,9;-1,554916E-10
-2,85;-1,544302E-10
-2,8;-1,51666E-10
-2,75;-1,500592E-10
-2,7;-1,487905E-10
-2,65;-1,462359E-10
-2,6;-1,449723E-10
-2,55;-1,398656E-10
-2,5;-1,381688E-10
-2,45;-1,372036E-10
-2,4;-1,391782E-10
-2,35;-1,354957E-10
-2,3;-1,342283E-10
-2,25;-1,300312E-10
-2,2;-1,263646E-10
-2,15;-1,157318E-10
-2,1;-1,064452E-10
-2,05;-1,207643E-10
-2;-1,264017E-10
-1,95;-1,166066E-10
-1,9;-9,409439E-11
-1,85;-1,091491E-10
-1,8;-1,177395E-10
-1,75;-1,02385E-10
-1,7;-7,227448E-11
-1,65;-6,048272E-11
-1,6;-5,501328E-11
-1,55;-8,70169E-11
-1,5;-1,153269E-10
-1,45;-8,397609E-11
-1,4;-6,189085E-11
-1,35;-5,78467E-11
-1,3;-5,383472E-11
-1,25;-6,123557E-11
-1,2;-4,774077E-11
-1,15;-4,013382E-11
-1,1;-2,997236E-11
-1,05;-1,618385E-11
-1;-1,073288E-11
-0,95;-6,1433E-12
-0,9;6,413747E-12
-0,85;4,194425E-11
-0,8;4,879607E-11
-0,75;7,28986E-11
-0,7;7,267767E-11
-0,65;9,155358E-11
-0,6;1,412049E-10
-0,55;2,565291E-10
-0,5;5,14176E-10
-0,45;1,08709E-09
-0,4;2,671543E-09
-0,35;4,214286E-09
-0,3;7,026601E-09
-0,25;1,098657E-08
-0,2;1,607748E-08
-0,15;2,487594E-08
-0,1;3,189232E-08
-0,05;3,975533E-08
0;4,851374E-08
0,05;5,739673E-08
0,1;6,653423E-08
0,15;7,565022E-08
0,2;8,449686E-08
0,25;9,318416E-08
0,3;1,016153E-07
0,35;1,098721E-07
0,4;1,17768E-07
0,45;1,255869E-07
0,5;1,331319E-07
0,55;1,403542E-07
0,6;1,475735E-07
0,65;1,543893E-07
0,7;1,617062E-07
0,75;1,683535E-07
0,8;1,747462E-07
0,85;1,810923E-07
0,9;1,870301E-07
0,95;1,931071E-07
1;1,990305E-07
1,05;2,048178E-07
1,1;2,102165E-07
1,15;2,156932E-07
1,2;2,209226E-07
1,25;2,260052E-07
1,3;2,309158E-07
1,35;2,357941E-07
1,4;2,405513E-07
1,45;2,453765E-07
1,5;2,493989E-07
1,55;2,535703E-07
1,6;2,57732E-07
1,65;2,618409E-07
1,7;2,659287E-07
1,75;2,698484E-07
1,8;2,735602E-07
1,85;2,771762E-07
1,9;2,806663E-07
1,95;2,840754E-07
2;2,874785E-07
2,05;2,907657E-07
2,1;2,940678E-07
2,15;2,971715E-07
2,2;3,001078E-07
2,25;3,031803E-07
2,3;3,060133E-07
2,35;3,088252E-07
2,4;3,115618E-07
2,45;3,143534E-07
2,5;3,171609E-07
2,55;3,196984E-07
2,6;3,223586E-07
2,65;3,247964E-07
2,7;3,272834E-07
2,75;3,296096E-07
2,8;3,318639E-07
2,85;3,340442E-07
2,9;3,361882E-07
2,95;3,382265E-07
3;3,40207E-07
3,05;3,422346E-07
3,1;3,441524E-07
3,15;3,461008E-07
3,2;3,479327E-07
3,25;3,497354E-07
3,3;3,515231E-07
3,35;3,531921E-07
3,4;3,549361E-07
3,45;3,565729E-07
3,5;3,582309E-07
3,55;3,598136E-07
3,6;3,614221E-07
3,65;3,630799E-07
3,7;3,649416E-07
3,75;3,664963E-07
3,8;3,680519E-07
3,85;3,694974E-07
3,9;3,707349E-07
3,95;3,720431E-07
4;3,734153E-07
4,05;3,749044E-07
4,1;3,761592E-07
4,15;3,775041E-07
4,2;3,788185E-07
4,25;3,804965E-07
4,3;3,818168E-07
4,35;3,829578E-07
4,4;3,843326E-07
4,45;3,856855E-07
4,5;3,867906E-07
4,55;3,88023E-07
4,6;3,892274E-07
4,65;3,904224E-07
4,7;3,916767E-07
4,75;3,929025E-07
4,8;3,94053E-07
4,85;3,949181E-07
4,9;3,959626E-07
4,95;3,97045E-07
5;3,980463E-07
