Angulo (rad)	Voltagem (V)	sig volt (V)
0.0000	0.33	0.1
0.0859	0.32	0.1
0.1717	0.31	0.1
0.2578	0.3	0.1
0.3437	0.23	0.1
0.4295	0.22	0.1
0.5154	0.18	0.1
0.6013	0.16	0.1
0.6873	0.12	0.1
0.7732	0.1	0.1
0.8591	0.07	0.1
0.9449	0.05	0.1
1.0308	0.02	0.1
1.1167	0.02	0.1
1.2027	0.02	0.1
1.2886	0.03	0.1
1.3744	0.04	0.1
1.4603	0.06	0.1
1.5462	0.09	0.1
1.6322	0.11	0.1
1.7181	0.13	0.1
1.8040	0.17	0.1
1.8898	0.21	0.1
1.9757	0.25	0.1
2.0616	0.27	0.1
2.1476	0.31	0.1
2.2335	0.37	0.1
2.3194	0.36	0.1
2.4052	0.42	0.1
2.4911	0.42	0.1
2.5772	0.46	0.1
2.6630	0.48	0.1
2.7489	0.48	0.1
2.8348	0.46	0.1
2.9206	0.46	0.1
3.0067	0.42	0.1
3.0925	0.42	0.1
3.1784	0.39	0.1
