Tensao [V];Corrente [A]
-5;-3,359603E-10
-4,95;-3,163951E-10
-4,9;-3,103508E-10
-4,85;-3,054981E-10
-4,8;-2,979801E-10
-4,75;-2,909606E-10
-4,7;-2,867399E-10
-4,65;-2,952232E-10
-4,6;-2,853295E-10
-4,55;-2,834759E-10
-4,5;-2,806227E-10
-4,45;-2,812112E-10
-4,4;-2,777473E-10
-4,35;-2,736191E-10
-4,3;-2,716125E-10
-4,25;-2,742609E-10
-4,2;-2,743314E-10
-4,15;-2,696887E-10
-4,1;-2,681645E-10
-4,05;-2,69248E-10
-4;-2,689037E-10
-3,95;-2,652028E-10
-3,9;-2,596901E-10
-3,85;-2,666232E-10
-3,8;-2,649583E-10
-3,75;-2,591286E-10
-3,7;-2,573442E-10
-3,65;-2,598505E-10
-3,6;-2,587066E-10
-3,55;-2,552326E-10
-3,5;-2,545661E-10
-3,45;-2,540206E-10
-3,4;-2,540984E-10
-3,35;-2,500062E-10
-3,3;-2,461312E-10
-3,25;-2,478268E-10
-3,2;-2,479256E-10
-3,15;-2,452982E-10
-3,1;-2,400238E-10
-3,05;-2,412651E-10
-3;-2,583894E-10
-2,95;-2,416244E-10
-2,9;-2,341964E-10
-2,85;-2,338814E-10
-2,8;-2,330226E-10
-2,75;-2,323625E-10
-2,7;-2,299991E-10
-2,65;-2,317033E-10
-2,6;-2,326204E-10
-2,55;-2,296449E-10
-2,5;-2,241435E-10
-2,45;-2,255625E-10
-2,4;-2,283405E-10
-2,35;-2,251938E-10
-2,3;-2,102057E-10
-2,25;-2,10165E-10
-2,2;-2,112163E-10
-2,15;-2,290354E-10
-2,1;-2,194032E-10
-2,05;-2,114608E-10
-2;-2,11373E-10
-1,95;-2,110905E-10
-1,9;-2,060234E-10
-1,85;-2,009462E-10
-1,8;-2,009673E-10
-1,75;-2,030776E-10
-1,7;-1,956645E-10
-1,65;-1,901024E-10
-1,6;-1,886487E-10
-1,55;-1,862682E-10
-1,5;-1,819067E-10
-1,45;-1,745358E-10
-1,4;-1,716849E-10
-1,35;-1,697338E-10
-1,3;-1,641557E-10
-1,25;-1,550099E-10
-1,2;-1,5248E-10
-1,15;-1,498106E-10
-1,1;-1,413857E-10
-1,05;-1,293348E-10
-1;-1,218192E-10
-0,95;-1,141925E-10
-0,9;-1,033621E-10
-0,85;-8,71339E-11
-0,8;-7,159806E-11
-0,75;-5,44146E-11
-0,7;-2,801129E-11
-0,65;2,101956E-11
-0,6;1,018706E-10
-0,55;2,755732E-10
-0,5;7,006015E-10
-0,45;1,667802E-09
-0,4;4,576638E-09
-0,35;6,905724E-09
-0,3;1,168618E-08
-0,25;1,821037E-08
-0,2;2,916258E-08
-0,15;3,95647E-08
-0,1;5,145143E-08
-0,05;6,438686E-08
0;7,855213E-08
0,05;9,310823E-08
0,1;1,079307E-07
0,15;1,227209E-07
0,2;1,370786E-07
0,25;1,507762E-07
0,3;1,638744E-07
0,35;1,765764E-07
0,4;1,887203E-07
0,45;2,004188E-07
0,5;2,117143E-07
0,55;2,22826E-07
0,6;2,335229E-07
0,65;2,439045E-07
0,7;2,543925E-07
0,75;2,646414E-07
0,8;2,746283E-07
0,85;2,843399E-07
0,9;2,939712E-07
0,95;3,0331E-07
1;3,124049E-07
1,05;3,211915E-07
1,1;3,298553E-07
1,15;3,382594E-07
1,2;3,463514E-07
1,25;3,541271E-07
1,3;3,616881E-07
1,35;3,691595E-07
1,4;3,762496E-07
1,45;3,829998E-07
1,5;3,896234E-07
1,55;3,959047E-07
1,6;4,02217E-07
1,65;4,083734E-07
1,7;4,143876E-07
1,75;4,199059E-07
1,8;4,253018E-07
1,85;4,305303E-07
1,9;4,356994E-07
1,95;4,407376E-07
2;4,457042E-07
2,05;4,4974E-07
2,1;4,543452E-07
2,15;4,588425E-07
2,2;4,632909E-07
2,25;4,673788E-07
2,3;4,711397E-07
2,35;4,749913E-07
2,4;4,788781E-07
2,45;4,827325E-07
2,5;4,854568E-07
2,55;4,900977E-07
2,6;4,938341E-07
2,65;4,972088E-07
2,7;5,005597E-07
2,75;5,037095E-07
2,8;5,06788E-07
2,85;5,098512E-07
2,9;5,129479E-07
2,95;5,160637E-07
3;5,191607E-07
3,05;5,219273E-07
3,1;5,244405E-07
3,15;5,269358E-07
3,2;5,294573E-07
3,25;5,317974E-07
3,3;5,340622E-07
3,35;5,363001E-07
3,4;5,385779E-07
3,45;5,407665E-07
3,5;5,429005E-07
3,55;5,449333E-07
3,6;5,470018E-07
3,65;5,490782E-07
3,7;5,51095E-07
3,75;5,529982E-07
3,8;5,549311E-07
3,85;5,569111E-07
3,9;5,587698E-07
3,95;5,606126E-07
4;5,624462E-07
4,05;5,643051E-07
4,1;5,66141E-07
4,15;5,678829E-07
4,2;5,695317E-07
4,25;5,71184E-07
4,3;5,729524E-07
4,35;5,746277E-07
4,4;5,763039E-07
4,45;5,780101E-07
4,5;5,79759E-07
4,55;5,813245E-07
4,6;5,829471E-07
4,65;5,846254E-07
4,7;5,86227E-07
4,75;5,878939E-07
4,8;5,893802E-07
4,85;5,90946E-07
4,9;5,925178E-07
4,95;5,939953E-07
5;5,95361E-07
