Tensao [V];Corrente [A]
-5;-3,26643E-10
-4,95;-3,104023E-10
-4,9;-3,016464E-10
-4,85;-2,960845E-10
-4,8;-2,904422E-10
-4,75;-2,874888E-10
-4,7;-2,848456E-10
-4,65;-2,836857E-10
-4,6;-2,802067E-10
-4,55;-2,77746E-10
-4,5;-2,773177E-10
-4,45;-2,741374E-10
-4,4;-2,717174E-10
-4,35;-2,714002E-10
-4,3;-2,696664E-10
-4,25;-2,68668E-10
-4,2;-2,671414E-10
-4,15;-2,659186E-10
-4,1;-2,652323E-10
-4,05;-2,632393E-10
-4;-2,603874E-10
-3,95;-2,584425E-10
-3,9;-2,583805E-10
-3,85;-2,575119E-10
-3,8;-2,558235E-10
-3,75;-2,549354E-10
-3,7;-2,540997E-10
-3,65;-2,533184E-10
-3,6;-2,529469E-10
-3,55;-2,504962E-10
-3,5;-2,490758E-10
-3,45;-2,476861E-10
-3,4;-2,440442E-10
-3,35;-2,441553E-10
-3,3;-2,430791E-10
-3,25;-2,432546E-10
-3,2;-2,416082E-10
-3,15;-2,397139E-10
-3,1;-2,391486E-10
-3,05;-2,414292E-10
-3;-2,341778E-10
-2,95;-2,333706E-10
-2,9;-2,336668E-10
-2,85;-2,318293E-10
-2,8;-2,303706E-10
-2,75;-2,290475E-10
-2,7;-2,239483E-10
-2,65;-2,302163E-10
-2,6;-2,284542E-10
-2,55;-2,253097E-10
-2,5;-2,238447E-10
-2,45;-2,251331E-10
-2,4;-2,222811E-10
-2,35;-2,198463E-10
-2,3;-2,166364E-10
-2,25;-2,16086E-10
-2,2;-2,145225E-10
-2,15;-2,13455E-10
-2,1;-2,110979E-10
-2,05;-2,099168E-10
-2;-2,077547E-10
-1,95;-2,04571E-10
-1,9;-2,03307E-10
-1,85;-2,018359E-10
-1,8;-2,000824E-10
-1,75;-1,953275E-10
-1,7;-1,913623E-10
-1,65;-1,896371E-10
-1,6;-1,859423E-10
-1,55;-1,820512E-10
-1,5;-1,774974E-10
-1,45;-1,742801E-10
-1,4;-1,713986E-10
-1,35;-1,649912E-10
-1,3;-1,583691E-10
-1,25;-1,551765E-10
-1,2;-1,490702E-10
-1,15;-1,425382E-10
-1,1;-1,348239E-10
-1,05;-1,282796E-10
-1;-1,207528E-10
-0,95;-1,095942E-10
-0,9;-9,809266E-11
-0,85;-8,600842E-11
-0,8;-7,183985E-11
-0,75;-5,059135E-11
-0,7;-2,210988E-11
-0,65;2,053578E-11
-0,6;9,718462E-11
-0,55;2,750068E-10
-0,5;6,915574E-10
-0,45;1,622375E-09
-0,4;4,261241E-09
-0,35;6,721784E-09
-0,3;1,134829E-08
-0,25;1,777569E-08
-0,2;2,986291E-08
-0,15;3,990814E-08
-0,1;5,116026E-08
-0,05;6,364616E-08
0;7,732416E-08
0,05;9,167824E-08
0,1;1,062475E-07
0,15;1,206767E-07
0,2;1,347764E-07
0,25;1,483336E-07
0,3;1,612813E-07
0,35;1,737356E-07
0,4;1,856234E-07
0,45;1,971356E-07
0,5;2,082416E-07
0,55;2,185535E-07
0,6;2,292214E-07
0,65;2,395315E-07
0,7;2,499505E-07
0,75;2,599361E-07
0,8;2,697882E-07
0,85;2,794079E-07
0,9;2,887226E-07
0,95;2,978959E-07
1;3,068823E-07
1,05;3,156744E-07
1,1;3,240512E-07
1,15;3,321849E-07
1,2;3,401607E-07
1,25;3,478564E-07
1,3;3,55215E-07
1,35;3,624283E-07
1,4;3,695033E-07
1,45;3,763269E-07
1,5;3,828745E-07
1,55;3,89252E-07
1,6;3,955016E-07
1,65;4,015419E-07
1,7;4,072995E-07
1,75;4,12868E-07
1,8;4,184034E-07
1,85;4,236837E-07
1,9;4,287384E-07
1,95;4,336467E-07
2;4,383895E-07
2,05;4,431017E-07
2,1;4,475691E-07
2,15;4,518153E-07
2,2;4,560571E-07
2,25;4,601651E-07
2,3;4,64199E-07
2,35;4,680286E-07
2,4;4,718117E-07
2,45;4,755825E-07
2,5;4,79206E-07
2,55;4,826671E-07
2,6;4,860857E-07
2,65;4,894551E-07
2,7;4,92707E-07
2,75;4,958512E-07
2,8;4,989319E-07
2,85;5,019559E-07
2,9;5,049259E-07
2,95;5,077093E-07
3;5,104018E-07
3,05;5,130648E-07
3,1;5,156343E-07
3,15;5,179006E-07
3,2;5,202859E-07
3,25;5,226851E-07
3,3;5,249875E-07
3,35;5,272831E-07
3,4;5,293889E-07
3,45;5,315933E-07
3,5;5,337275E-07
3,55;5,358049E-07
3,6;5,378213E-07
3,65;5,397838E-07
3,7;5,418011E-07
3,75;5,436175E-07
3,8;5,455212E-07
3,85;5,474324E-07
3,9;5,493671E-07
3,95;5,513595E-07
4;5,532224E-07
4,05;5,55073E-07
4,1;5,569252E-07
4,15;5,587406E-07
4,2;5,605239E-07
4,25;5,622771E-07
4,3;5,640204E-07
4,35;5,657969E-07
4,4;5,675133E-07
4,45;5,691841E-07
4,5;5,708915E-07
4,55;5,725983E-07
4,6;5,742274E-07
4,65;5,758208E-07
4,7;5,774279E-07
4,75;5,79048E-07
4,8;5,805765E-07
4,85;5,821121E-07
4,9;5,836228E-07
4,95;5,851313E-07
5;5,865734E-07
