Tensao [V];Corrente [A]
-5;-3,160807E-10
-4,95;-2,974125E-10
-4,9;-2,9139E-10
-4,85;-2,886121E-10
-4,8;-2,852986E-10
-4,75;-2,781199E-10
-4,7;-2,78015E-10
-4,65;-2,768796E-10
-4,6;-2,740017E-10
-4,55;-2,717754E-10
-4,5;-2,70086E-10
-4,45;-2,720532E-10
-4,4;-2,687259E-10
-4,35;-2,635462E-10
-4,3;-2,629799E-10
-4,25;-2,633674E-10
-4,2;-2,60898E-10
-4,15;-2,589629E-10
-4,1;-2,572797E-10
-4,05;-2,567205E-10
-4;-2,544016E-10
-3,95;-2,486139E-10
-3,9;-2,484359E-10
-3,85;-2,505105E-10
-3,8;-2,47118E-10
-3,75;-2,433291E-10
-3,7;-2,43729E-10
-3,65;-2,43138E-10
-3,6;-2,401576E-10
-3,55;-2,394614E-10
-3,5;-2,384348E-10
-3,45;-2,382669E-10
-3,4;-2,35347E-10
-3,35;-2,295061E-10
-3,3;-2,285484E-10
-3,25;-2,295679E-10
-3,2;-2,271625E-10
-3,15;-2,206785E-10
-3,1;-2,209253E-10
-3,05;-2,216905E-10
-3;-2,188508E-10
-2,95;-2,137501E-10
-2,9;-2,121596E-10
-2,85;-2,126582E-10
-2,8;-2,076537E-10
-2,75;-2,022966E-10
-2,7;-2,021003E-10
-2,65;-2,014895E-10
-2,6;-1,972367E-10
-2,55;-1,906023E-10
-2,5;-1,893447E-10
-2,45;-1,893793E-10
-2,4;-1,833926E-10
-2,35;-1,746416E-10
-2,3;-1,708998E-10
-2,25;-1,662792E-10
-2,2;-1,587896E-10
-2,15;-1,472494E-10
-2,1;-1,36314E-10
-2,05;-1,263437E-10
-2;-1,108681E-10
-1,95;-9,189245E-11
-1,9;-7,105718E-11
-1,85;-5,109925E-11
-1,8;-2,520531E-11
-1,75;5,568428E-12
-1,7;4,097957E-11
-1,65;7,506887E-11
-1,6;1,227412E-10
-1,55;1,77569E-10
-1,5;2,404102E-10
-1,45;3,154667E-10
-1,4;4,156798E-10
-1,35;5,486659E-10
-1,3;7,211478E-10
-1,25;9,525795E-10
-1,2;1,264318E-09
-1,15;1,678833E-09
-1,1;2,395818E-09
-1,05;2,917027E-09
-1;3,760217E-09
-0,95;4,811317E-09
-0,9;6,09195E-09
-0,85;7,616311E-09
-0,8;9,409459E-09
-0,75;1,149649E-08
-0,7;1,39132E-08
-0,65;1,673031E-08
-0,6;2,165814E-08
-0,55;2,591321E-08
-0,5;3,104213E-08
-0,45;3,716221E-08
-0,4;4,433809E-08
-0,35;5,25122E-08
-0,3;6,144896E-08
-0,25;7,083912E-08
-0,2;8,063891E-08
-0,15;9,071861E-08
-0,1;1,010254E-07
-0,05;1,114731E-07
0;1,221537E-07
0,05;1,328748E-07
0,1;1,436381E-07
0,15;1,544117E-07
0,2;1,651588E-07
0,25;1,759188E-07
0,3;1,86715E-07
0,35;1,97471E-07
0,4;2,080712E-07
0,45;2,185735E-07
0,5;2,290084E-07
0,55;2,392754E-07
0,6;2,494586E-07
0,65;2,595922E-07
0,7;2,695544E-07
0,75;2,793676E-07
0,8;2,890489E-07
0,85;2,986017E-07
0,9;3,079222E-07
0,95;3,170663E-07
1;3,260181E-07
1,05;3,347979E-07
1,1;3,433164E-07
1,15;3,515646E-07
1,2;3,596414E-07
1,25;3,675484E-07
1,3;3,752319E-07
1,35;3,826829E-07
1,4;3,899751E-07
1,45;3,971661E-07
1,5;4,041569E-07
1,55;4,109206E-07
1,6;4,175711E-07
1,65;4,241086E-07
1,7;4,304655E-07
1,75;4,366869E-07
1,8;4,428019E-07
1,85;4,488514E-07
1,9;4,547309E-07
1,95;4,604402E-07
2;4,660844E-07
2,05;4,716569E-07
2,1;4,771551E-07
2,15;4,824635E-07
2,2;4,877367E-07
2,25;4,929015E-07
2,3;4,979102E-07
2,35;5,027938E-07
2,4;5,076204E-07
2,45;5,12505E-07
2,5;5,172771E-07
2,55;5,218423E-07
2,6;5,262444E-07
2,65;5,306799E-07
2,7;5,350327E-07
2,75;5,392257E-07
2,8;5,433462E-07
2,85;5,474188E-07
2,9;5,513767E-07
2,95;5,550528E-07
3;5,588253E-07
3,05;5,625646E-07
3,1;5,662888E-07
3,15;5,699014E-07
3,2;5,731828E-07
3,25;5,766053E-07
3,3;5,799706E-07
3,35;5,832046E-07
3,4;5,863747E-07
3,45;5,895848E-07
3,5;5,927899E-07
3,55;5,958615E-07
3,6;5,988226E-07
3,65;6,018622E-07
3,7;6,049146E-07
3,75;6,077973E-07
3,8;6,106274E-07
3,85;6,135378E-07
3,9;6,164393E-07
3,95;6,191839E-07
4;6,219187E-07
4,05;6,246734E-07
4,1;6,274286E-07
4,15;6,300515E-07
4,2;6,326522E-07
4,25;6,352452E-07
4,3;6,377743E-07
4,35;6,403209E-07
4,4;6,427432E-07
4,45;6,451955E-07
4,5;6,476203E-07
4,55;6,500584E-07
4,6;6,522835E-07
4,65;6,546056E-07
4,7;6,56912E-07
4,75;6,591492E-07
4,8;6,612154E-07
4,85;6,633917E-07
4,9;6,655719E-07
4,95;6,676363E-07
5;6,696361E-07
