Tensao [V];Corrente [A]
-5;-3,234521E-10
-4,95;-3,026135E-10
-4,9;-2,948892E-10
-4,85;-2,914361E-10
-4,8;-2,866303E-10
-4,75;-2,821853E-10
-4,7;-2,795628E-10
-4,65;-2,816473E-10
-4,6;-2,807806E-10
-4,55;-2,739821E-10
-4,5;-2,724087E-10
-4,45;-2,716312E-10
-4,4;-2,703057E-10
-4,35;-2,665022E-10
-4,3;-2,654446E-10
-4,25;-2,663479E-10
-4,2;-2,644549E-10
-4,15;-2,608981E-10
-4,1;-2,566812E-10
-4,05;-2,584694E-10
-4;-2,566183E-10
-3,95;-2,540997E-10
-3,9;-2,513411E-10
-3,85;-2,510291E-10
-3,8;-2,503084E-10
-3,75;-2,469973E-10
-3,7;-2,447338E-10
-3,65;-2,446485E-10
-3,6;-2,423753E-10
-3,55;-2,390917E-10
-3,5;-2,360841E-10
-3,45;-2,369751E-10
-3,4;-2,359778E-10
-3,35;-2,327706E-10
-3,3;-2,309674E-10
-3,25;-2,30607E-10
-3,2;-2,291471E-10
-3,15;-2,248881E-10
-3,1;-2,221202E-10
-3,05;-2,225089E-10
-3;-2,221684E-10
-2,95;-2,180081E-10
-2,9;-2,139725E-10
-2,85;-2,131136E-10
-2,8;-2,098815E-10
-2,75;-2,079959E-10
-2,7;-2,034928E-10
-2,65;-2,001445E-10
-2,6;-2,00411E-10
-2,55;-1,94201E-10
-2,5;-1,882476E-10
-2,45;-1,86599E-10
-2,4;-1,848873E-10
-2,35;-1,801322E-10
-2,3;-1,742727E-10
-2,25;-1,666903E-10
-2,2;-1,612578E-10
-2,15;-1,528153E-10
-2,1;-1,401202E-10
-2,05;-1,279852E-10
-2;-1,143804E-10
-1,95;-9,468657E-11
-1,9;-7,486071E-11
-1,85;-5,212114E-11
-1,8;-2,731442E-11
-1,75;2,364608E-12
-1,7;3,940852E-11
-1,65;7,856401E-11
-1,6;1,216688E-10
-1,55;1,746356E-10
-1,5;2,451295E-10
-1,45;3,2213E-10
-1,4;4,127751E-10
-1,35;5,378354E-10
-1,3;7,137307E-10
-1,25;9,464958E-10
-1,2;1,254314E-09
-1,15;1,664901E-09
-1,1;2,278644E-09
-1,05;2,88449E-09
-1;3,738553E-09
-0,95;4,785857E-09
-0,9;6,059173E-09
-0,85;7,57366E-09
-0,8;9,353858E-09
-0,75;1,142918E-08
-0,7;1,382968E-08
-0,65;1,66311E-08
-0,6;2,153267E-08
-0,55;2,577923E-08
-0,5;3,084674E-08
-0,45;3,695064E-08
-0,4;4,409662E-08
-0,35;5,222371E-08
-0,3;6,110378E-08
-0,25;7,046176E-08
-0,2;8,019712E-08
-0,15;9,026675E-08
-0,1;1,00553E-07
-0,05;1,108811E-07
0;1,215595E-07
0,05;1,322013E-07
0,1;1,428899E-07
0,15;1,535629E-07
0,2;1,642836E-07
0,25;1,750388E-07
0,3;1,857947E-07
0,35;1,965022E-07
0,4;2,069983E-07
0,45;2,174718E-07
0,5;2,278368E-07
0,55;2,380555E-07
0,6;2,481934E-07
0,65;2,582405E-07
0,7;2,68219E-07
0,75;2,779561E-07
0,8;2,875445E-07
0,85;2,970298E-07
0,9;3,063372E-07
0,95;3,154444E-07
1;3,243293E-07
1,05;3,330585E-07
1,1;3,415015E-07
1,15;3,497117E-07
1,2;3,577587E-07
1,25;3,656191E-07
1,3;3,732756E-07
1,35;3,806625E-07
1,4;3,879417E-07
1,45;3,95079E-07
1,5;4,020327E-07
1,55;4,087694E-07
1,6;4,153334E-07
1,65;4,218709E-07
1,7;4,282371E-07
1,75;4,344319E-07
1,8;4,404682E-07
1,85;4,464555E-07
1,9;4,523241E-07
1,95;4,580139E-07
2;4,636418E-07
2,05;4,691713E-07
2,1;4,746234E-07
2,15;4,799019E-07
2,2;4,850816E-07
2,25;4,902807E-07
2,3;4,953241E-07
2,35;5,002374E-07
2,4;5,050653E-07
2,45;5,098599E-07
2,5;5,14522E-07
2,55;5,190877E-07
2,6;5,235295E-07
2,65;5,279052E-07
2,7;5,32263E-07
2,75;5,364348E-07
2,8;5,405262E-07
2,85;5,444715E-07
2,9;5,484679E-07
2,95;5,523138E-07
3;5,560205E-07
3,05;5,596916E-07
3,1;5,632863E-07
3,15;5,668076E-07
3,2;5,702477E-07
3,25;5,736365E-07
3,3;5,769749E-07
3,35;5,802377E-07
3,4;5,834224E-07
3,45;5,865921E-07
3,5;5,897429E-07
3,55;5,927825E-07
3,6;5,958335E-07
3,65;5,98779E-07
3,7;6,018011E-07
3,75;6,047043E-07
3,8;6,076435E-07
3,85;6,105598E-07
3,9;6,1333E-07
3,95;6,160799E-07
4;6,18816E-07
4,05;6,215803E-07
4,1;6,243015E-07
4,15;6,269741E-07
4,2;6,295452E-07
4,25;6,320955E-07
4,3;6,346709E-07
4,35;6,372338E-07
4,4;6,396463E-07
4,45;6,421258E-07
4,5;6,445301E-07
4,55;6,470765E-07
4,6;6,49275E-07
4,65;6,515142E-07
4,7;6,538157E-07
4,75;6,559465E-07
4,8;6,580499E-07
4,85;6,601487E-07
4,9;6,622967E-07
4,95;6,643408E-07
5;6,664342E-07
