Tensao [V];Corrente [A]
-5;-1,655651E-10
-4,95;-1,426675E-10
-4,9;-1,330928E-10
-4,85;-1,290707E-10
-4,8;-1,283722E-10
-4,75;-1,19844E-10
-4,7;-1,165501E-10
-4,65;-1,163489E-10
-4,6;-1,158095E-10
-4,55;-1,128093E-10
-4,5;-1,093153E-10
-4,45;-1,110889E-10
-4,4;-1,106914E-10
-4,35;-1,073999E-10
-4,3;-1,054351E-10
-4,25;-1,055277E-10
-4,2;-1,040344E-10
-4,15;-1,009033E-10
-4,1;-9,904708E-11
-4,05;-9,882001E-11
-4;-9,889648E-11
-3,95;-9,680955E-11
-3,9;-9,210736E-11
-3,85;-8,941068E-11
-3,8;-9,298107E-11
-3,75;-9,242949E-11
-3,7;-8,7436E-11
-3,65;-8,686089E-11
-3,6;-9,079163E-11
-3,55;-8,758408E-11
-3,5;-8,487389E-11
-3,45;-7,8861E-11
-3,4;-7,83809E-11
-3,35;-7,855983E-11
-3,3;-7,475733E-11
-3,25;-7,477957E-11
-3,2;-8,273258E-11
-3,15;-8,143799E-11
-3,1;-7,201503E-11
-3,05;-6,784353E-11
-3;-7,058461E-11
-2,95;-7,096845E-11
-2,9;-6,513205E-11
-2,85;-6,219106E-11
-2,8;-6,352518E-11
-2,75;-6,692782E-11
-2,7;-6,286859E-11
-2,65;-5,915132E-11
-2,6;-5,781346E-11
-2,55;-5,919574E-11
-2,5;-5,524393E-11
-2,45;-5,089714E-11
-2,4;-4,978768E-11
-2,35;-4,877932E-11
-2,3;-5,025416E-11
-2,25;-4,677503E-11
-2,2;-4,692189E-11
-2,15;-4,716872E-11
-2,1;-4,594318E-11
-2,05;-4,222344E-11
-2;-4,018085E-11
-1,95;-4,214691E-11
-1,9;-4,024259E-11
-1,85;-3,571687E-11
-1,8;-3,242163E-11
-1,75;-3,227106E-11
-1,7;-3,07333E-11
-1,65;-2,562012E-11
-1,6;-2,143382E-11
-1,55;-1,977882E-11
-1,5;-1,743265E-11
-1,45;-1,126675E-11
-1,4;-2,431317E-12
-1,35;1,96732E-12
-1,3;9,800821E-12
-1,25;2,313886E-11
-1,2;3,742233E-11
-1,15;5,344106E-11
-1,1;7,609115E-11
-1,05;1,103207E-10
-1;1,510593E-10
-0,95;2,024725E-10
-0,9;2,868676E-10
-0,85;3,962257E-10
-0,8;5,585096E-10
-0,75;8,11479E-10
-0,7;1,200305E-09
-0,65;1,833526E-09
-0,6;3,306996E-09
-0,55;4,447763E-09
-0,5;6,967738E-09
-0,45;1,086218E-08
-0,4;1,632784E-08
-0,35;2,711204E-08
-0,3;3,704125E-08
-0,25;4,882624E-08
-0,2;6,159836E-08
-0,15;7,465702E-08
-0,1;8,784636E-08
-0,05;1,011846E-07
0;1,14728E-07
0,05;1,282294E-07
0,1;1,416534E-07
0,15;1,549429E-07
0,2;1,680088E-07
0,25;1,808772E-07
0,3;1,933102E-07
0,35;2,055803E-07
0,4;2,176022E-07
0,45;2,295113E-07
0,5;2,412562E-07
0,55;2,529349E-07
0,6;2,645606E-07
0,65;2,760298E-07
0,7;2,874357E-07
0,75;2,987478E-07
0,8;3,099611E-07
0,85;3,209246E-07
0,9;3,317056E-07
0,95;3,421992E-07
1;3,52492E-07
1,05;3,624678E-07
1,1;3,720027E-07
1,15;3,812362E-07
1,2;3,90176E-07
1,25;3,987979E-07
1,3;4,069997E-07
1,35;4,149351E-07
1,4;4,226973E-07
1,45;4,301534E-07
1,5;4,373381E-07
1,55;4,442909E-07
1,6;4,511322E-07
1,65;4,577976E-07
1,7;4,642567E-07
1,75;4,705557E-07
1,8;4,768483E-07
1,85;4,829295E-07
1,9;4,889172E-07
1,95;4,946932E-07
2;5,004017E-07
2,05;5,060489E-07
2,1;5,115069E-07
2,15;5,168201E-07
2,2;5,220768E-07
2,25;5,272412E-07
2,3;5,322751E-07
2,35;5,371647E-07
2,4;5,420298E-07
2,45;5,468113E-07
2,5;5,514975E-07
2,55;5,560238E-07
2,6;5,604805E-07
2,65;5,648935E-07
2,7;5,691268E-07
2,75;5,73264E-07
2,8;5,773455E-07
2,85;5,812715E-07
2,9;5,850864E-07
2,95;5,887653E-07
3;5,92373E-07
3,05;5,958685E-07
3,1;5,993133E-07
3,15;6,026098E-07
3,2;6,058086E-07
3,25;6,089578E-07
3,3;6,120239E-07
3,35;6,149832E-07
3,4;6,178179E-07
3,45;6,206899E-07
3,5;6,234829E-07
3,55;6,261926E-07
3,6;6,289337E-07
3,65;6,315751E-07
3,7;6,341619E-07
3,75;6,366835E-07
3,8;6,390937E-07
3,85;6,414686E-07
3,9;6,438888E-07
3,95;6,462256E-07
4;6,484054E-07
4,05;6,505349E-07
4,1;6,527599E-07
4,15;6,54902E-07
4,2;6,569779E-07
4,25;6,590527E-07
4,3;6,610277E-07
4,35;6,630775E-07
4,4;6,651284E-07
4,45;6,670592E-07
4,5;6,689785E-07
4,55;6,708743E-07
4,6;6,727047E-07
4,65;6,744751E-07
4,7;6,761841E-07
4,75;6,779795E-07
4,8;6,796683E-07
4,85;6,813416E-07
4,9;6,829133E-07
4,95;6,845427E-07
5;6,861259E-07
