Tensao [V];Corrente [A]
-5;-1,111262E-10
-4,95;-9,821513E-11
-4,9;-9,131666E-11
-4,85;-8,7924E-11
-4,8;-8,686152E-11
-4,75;-8,524366E-11
-4,7;-8,257173E-11
-4,65;-7,977286E-11
-4,6;-8,192758E-11
-4,55;-8,102056E-11
-4,5;-7,629146E-11
-4,45;-7,313344E-11
-4,4;-7,291996E-11
-4,35;-7,096889E-11
-4,3;-6,774789E-11
-4,25;-6,364455E-11
-4,2;-6,356805E-11
-4,15;-6,301264E-11
-4,1;-5,98707E-11
-4,05;-5,814292E-11
-4;-5,691131E-11
-3,95;-5,558221E-11
-3,9;-5,424695E-11
-3,85;-5,119256E-11
-3,8;-5,086676E-11
-3,75;-4,901315E-11
-3,7;-4,64413E-11
-3,65;-4,325365E-11
-3,6;-4,288096E-11
-3,55;-4,129513E-11
-3,5;-3,846906E-11
-3,45;-3,659449E-11
-3,4;-3,554304E-11
-3,35;-3,565784E-11
-3,3;-3,207772E-11
-3,25;-2,730919E-11
-3,2;-2,51261E-11
-3,15;-2,499034E-11
-3,1;-2,371553E-11
-3,05;-1,974792E-11
-3;-1,835463E-11
-2,95;-1,711066E-11
-2,9;-1,416983E-11
-2,85;-1,050705E-11
-2,8;-8,163513E-12
-2,75;-7,769839E-12
-2,7;-6,051983E-12
-2,65;-2,001697E-12
-2,6;1,522911E-12
-2,55;9,181872E-13
-2,5;4,635376E-12
-2,45;8,944945E-12
-2,4;1,135026E-11
-2,35;1,232398E-11
-2,3;1,510569E-11
-2,25;1,950658E-11
-2,2;2,234879E-11
-2,15;2,408398E-11
-2,1;2,703849E-11
-2,05;3,037802E-11
-2;3,478631E-11
-1,95;3,730762E-11
-1,9;4,028805E-11
-1,85;4,60798E-11
-1,8;5,014503E-11
-1,75;5,238127E-11
-1,7;5,493342E-11
-1,65;5,924299E-11
-1,6;6,329338E-11
-1,55;6,683663E-11
-1,5;6,990709E-11
-1,45;7,425245E-11
-1,4;8,005406E-11
-1,35;8,247421E-11
-1,3;8,588536E-11
-1,25;9,07972E-11
-1,2;9,632232E-11
-1,15;1,022845E-10
-1,1;1,066544E-10
-1,05;1,147342E-10
-1;1,213036E-10
-0,95;1,268608E-10
-0,9;1,336078E-10
-0,85;1,391305E-10
-0,8;1,478755E-10
-0,75;1,547422E-10
-0,7;1,636724E-10
-0,65;1,744869E-10
-0,6;1,85509E-10
-0,55;1,984955E-10
-0,5;2,162412E-10
-0,45;2,469845E-10
-0,4;2,983859E-10
-0,35;3,986858E-10
-0,3;5,912068E-10
-0,25;9,28257E-10
-0,2;1,503586E-09
-0,15;2,961437E-09
-0,1;3,760934E-09
-0,05;5,276209E-09
0;7,173707E-09
0,05;8,477037E-09
0,1;9,924755E-09
0,15;1,136981E-08
0,2;1,287119E-08
0,25;1,43405E-08
0,3;1,566456E-08
0,35;1,696609E-08
0,4;1,831567E-08
0,45;2,015372E-08
0,5;2,146727E-08
0,55;2,271589E-08
0,6;2,399423E-08
0,65;2,522792E-08
0,7;2,646866E-08
0,75;2,768493E-08
0,8;2,887213E-08
0,85;3,007802E-08
0,9;3,124892E-08
0,95;3,240253E-08
1;3,354159E-08
1,05;3,467576E-08
1,1;3,580278E-08
1,15;3,688745E-08
1,2;3,794202E-08
1,25;3,898297E-08
1,3;4,00023E-08
1,35;4,100929E-08
1,4;4,198049E-08
1,45;4,295763E-08
1,5;4,388055E-08
1,55;4,481228E-08
1,6;4,570831E-08
1,65;4,65781E-08
1,7;4,745779E-08
1,75;4,825642E-08
1,8;4,913048E-08
1,85;4,992322E-08
1,9;5,069765E-08
1,95;5,148034E-08
2;5,218795E-08
2,05;5,293967E-08
2,1;5,366142E-08
2,15;5,439173E-08
2,2;5,508992E-08
2,25;5,579115E-08
2,3;5,650255E-08
2,35;5,715947E-08
2,4;5,784277E-08
2,45;5,84981E-08
2,5;5,913965E-08
2,55;5,980299E-08
2,6;6,042238E-08
2,65;6,104511E-08
2,7;6,163891E-08
2,75;6,223129E-08
2,8;6,241984E-08
2,85;6,293077E-08
2,9;6,348841E-08
2,95;6,407922E-08
3;6,464817E-08
3,05;6,518672E-08
3,1;6,570642E-08
3,15;6,626698E-08
3,2;6,676071E-08
3,25;6,72762E-08
3,3;6,78176E-08
3,35;6,849071E-08
3,4;6,907736E-08
3,45;6,974861E-08
3,5;7,028785E-08
3,55;7,080996E-08
3,6;7,131275E-08
3,65;7,177042E-08
3,7;7,217319E-08
3,75;7,261764E-08
3,8;7,307719E-08
3,85;7,351483E-08
3,9;7,391705E-08
3,95;7,439667E-08
4;7,486607E-08
4,05;7,525205E-08
4,1;7,558234E-08
4,15;7,596744E-08
4,2;7,633543E-08
4,25;7,666974E-08
4,3;7,707994E-08
4,35;7,741636E-08
4,4;7,782246E-08
4,45;7,816748E-08
4,5;7,849837E-08
4,55;7,881425E-08
4,6;7,898261E-08
4,65;7,920236E-08
4,7;7,95444E-08
4,75;8,004142E-08
4,8;8,080001E-08
4,85;8,117733E-08
4,9;8,161066E-08
4,95;8,20325E-08
5;8,244842E-08
